%\*l[nm]	Flux relative to continuum flux
648.25159   0.98834064
648.27600   0.98405655
648.30029   0.97932950
648.32458   0.97012477
648.34900   0.96858962
648.37329   0.97212618
648.39758   0.97563682
648.42194   0.98596545
648.44617   0.99554152
648.47052   0.99433708
648.49475   0.99534547
648.51910   0.99678878
648.54333   0.99589354
648.56763   0.99707542
648.59192   1.00054850
648.61615   1.00384190
648.64038   1.01147750
648.66467   0.99588591
648.68884   0.99872944
648.71313   1.00300260
648.73737   1.00929030
648.76160   1.00849220
648.78577   1.00826320
648.81000   1.01324360
648.83417   1.01552990
648.85840   1.01778730
648.88257   1.02238230
648.90680   1.01824460
648.93097   1.01893760
648.95514   1.02285980
648.97931   1.02768510
649.00342   1.03111800
649.02759   1.02686290
649.05176   1.01273500
649.07587   0.99872567
649.09998   1.00634780
649.12415   1.01807560
649.14825   1.02758390
649.17236   1.02927720
649.19647   1.02736720
649.22058   1.02465330
649.24469   1.03050400
649.26880   1.01138480
649.29285   1.00236380
649.31696   1.00580680
649.34100   1.01276170
649.36511   1.02411310
649.38916   1.02351120
649.41321   1.02653730
649.43726   1.02681650
649.46130   1.02248770
649.48529   1.02994010
649.50934   1.02757960
649.53333   1.01994020
649.55737   1.01046490
649.58142   0.99710992
649.60541   1.00082700
649.62939   1.01000020
649.65344   1.01836190
649.67737   1.02242250
649.70135   1.02032190
649.72534   1.00260830
649.74933   1.00583270
649.77325   1.00628920
649.79724   1.00521710
649.82117   1.00896300
649.84509   1.00745990
649.86902   1.00358100
649.89294   1.00308510
649.91687   0.99902475
649.94080   0.99901679
649.96472   1.00086600
649.98865   0.99971217
650.01257   0.99727327
650.03644   0.99591350
650.06030   0.99509170
650.08417   0.99924050
650.10803   0.99429788
650.13196   0.99112937
650.15582   0.98843779
650.17963   0.98457145
650.20349   0.99002005
650.22736   0.99572400
650.25116   0.99813292
650.27502   0.99159761
650.29883   0.99249716
650.32263   0.99348974
650.34644   0.99252600
650.37024   0.99209031
650.39404   0.99272555
650.41785   0.99330559
650.44165   0.99617867
650.46545   0.99376316
650.48920   0.99883599
650.51294   0.99590822
650.53674   0.99826093
650.56049   0.99831472
650.58423   0.99837147
650.60797   0.99698489
650.63171   0.99448599
650.65540   1.00309390
650.67914   0.99922996
650.70288   0.99955823
