%\*l[nm]	Flux relative to continuum flux
648.25159   0.99885197
648.27600   0.99492215
648.30029   0.98091797
648.32458   0.97310824
648.34900   0.97374449
648.37329   0.97718241
648.39758   0.97489571
648.42194   0.99444942
648.44617   0.99686234
648.47052   0.99737467
648.49475   1.00244800
648.51910   1.00238740
648.54333   0.99795324
648.56763   0.99738766
648.59192   0.99385631
648.61615   1.00931120
648.64038   1.00144690
648.66467   0.99138814
648.68884   0.99400679
648.71313   0.99765948
648.73737   1.00587980
648.76160   1.00796830
648.78577   1.00367710
648.81000   1.00279790
648.83417   1.00726690
648.85840   1.01376520
648.88257   1.01655290
648.90680   1.00897540
648.93097   1.01324380
648.95514   1.02036440
648.97931   1.01846510
649.00342   1.01464600
649.02759   1.01364510
649.05176   0.99922497
649.07587   0.98623175
649.09998   0.99221917
649.12415   1.01219240
649.14825   1.01616660
649.17236   1.01923740
649.19647   1.01819680
649.22058   1.01760230
649.24469   1.01647150
649.26880   1.00023420
649.29285   0.99257052
649.31696   0.99746680
649.34100   1.00869430
649.36511   1.01673070
649.38916   1.01744290
649.41321   1.01619270
649.43726   1.01430760
649.46130   1.01609950
649.48529   1.01979510
649.50934   1.01796200
649.53333   1.00984470
649.55737   1.03271500
649.58142   1.00630110
649.60541   0.98654060
649.62939   1.00042570
649.65344   1.01234570
649.67737   1.00720280
649.70135   1.00835340
649.72534   1.00145760
649.74933   1.00415570
649.77325   0.99592492
649.79724   1.00885550
649.82117   1.00307100
649.84509   1.00710900
649.86902   1.00120450
649.89294   1.00587820
649.91687   0.99875116
649.94080   1.00051390
649.96472   1.00165020
649.98865   0.99899936
650.01257   1.00404730
650.03644   1.00052730
650.06030   1.00317150
650.08417   1.00299950
650.10803   1.00540200
650.13196   0.99697996
650.15582   0.99921825
650.17963   0.99937413
650.20349   0.99812850
650.22736   0.99604173
650.25116   0.99745156
650.27502   1.00137230
650.29883   0.99837768
650.32263   0.99831314
650.34644   0.99445949
650.37024   1.00306110
650.39404   0.99247786
650.41785   0.99707095
650.44165   0.99790322
650.46545   0.99281190
650.48920   1.00074440
650.51294   0.99611615
650.53674   0.99583976
650.56049   0.99578075
650.58423   0.99781143
650.60797   0.99921672
650.63171   0.98859616
650.65540   0.99412114
650.67914   1.00122590
650.70288   0.99695263
650.72662   0.99395894
650.75031   1.00201440
650.77405   0.99096051
650.79773   1.00358900
650.82141   0.99345328
650.84509   0.98750677
650.86877   0.98767246
650.89246   0.99043904
650.91608   0.99567409
650.93976   0.99933557
650.96338   1.00074180
650.98700   0.99829602
651.01062   0.99780169
651.03430   0.99685974
651.05792   1.00281220
651.08154   1.00583890
651.10516   1.00870960
651.12878   1.01103640
651.15234   1.01538320
