%\*l[nm]	Flux relative to continuum flux
648.25159   0.96763114
648.27600   0.96050853
648.30029   0.95681415
648.32458   0.95298604
648.34900   0.95080349
648.37329   0.95789533
648.39758   0.95628052
648.42194   0.96661413
648.44617   0.96878849
648.47052   0.98168773
648.49475   0.97680359
648.51910   0.98181401
648.54333   0.97844793
648.56763   0.97768820
648.59192   0.98512919
648.61615   0.98897012
648.64038   0.98865178
648.66467   0.99328081
648.68884   0.99273836
648.71313   0.99685291
648.73737   1.00634950
648.76160   1.00210180
648.78577   1.00438130
648.81000   1.00942040
648.83417   1.01553040
648.85840   1.01212850
648.88257   1.01275170
648.90680   1.00682720
648.93097   1.01199140
648.95514   1.01327150
648.97931   1.01308690
649.00342   1.01577690
649.02759   1.00847580
649.05176   1.00496830
649.07587   0.99248216
649.09998   0.99297756
649.12415   1.00322960
649.14825   1.01323270
649.17236   1.01668660
649.19647   1.01416130
649.22058   1.01295760
649.24469   1.01530500
649.26880   1.00754440
649.29285   0.99619594
649.31696   1.00431440
649.34100   1.00523390
649.36511   1.01026220
649.38916   1.01430790
649.41321   1.02145080
649.43726   1.01645520
649.46130   1.01562390
649.48529   1.01483140
649.50934   1.01707960
649.53333   1.01270710
649.55737   1.00895670
649.58142   0.99620007
649.60541   0.99694085
649.62939   1.00197500
649.65344   1.01870890
649.67737   1.01434890
649.70135   1.01183020
649.72534   1.01143040
649.74933   1.00073800
649.77325   0.99999785
649.79724   1.00572780
649.82117   1.00777350
649.84509   1.00592220
649.86902   1.00477310
649.89294   0.99965429
649.91687   0.99799186
649.94080   1.00346120
649.96472   0.99845588
649.98865   0.99930418
650.01257   0.99901317
650.03644   0.99833082
650.06030   1.00875640
650.08417   1.00468630
650.10803   1.00373620
650.13196   1.00028430
650.15582   0.99231166
650.17963   0.99710937
650.20349   0.99625480
650.22736   0.99823726
650.25116   0.99699666
650.27502   0.98754827
650.29883   0.99413526
650.32263   0.99191303
650.34644   0.99332587
650.37024   0.99424869
650.39404   0.99520279
650.41785   0.99178097
650.44165   0.99395083
650.46545   0.99695700
650.48920   0.99713147
650.51294   0.99717210
650.53674   0.99843398
650.56049   0.99934077
650.58423   0.99614776
650.60797   0.99899435
650.63171   0.99763357
650.65540   0.99448203
650.67914   0.99135730
650.70288   0.99879713
650.72662   0.99170958
650.75031   0.99336898
650.77405   0.99142729
650.79773   0.99609934
650.82141   0.98794573
650.84509   0.99144014
650.86877   0.98513050
650.89246   0.98707346
650.91608   0.99263698
650.93976   0.99805293
650.96338   0.99603831
650.98700   0.99937348
651.01062   1.00336700
651.03430   0.99599991
651.05792   1.00014150
651.08154   1.00761950
651.10516   1.00989860
651.12878   1.00882790
651.15234   1.01765890
651.17596   1.01106990
651.19958   1.00972150
651.22314   1.00217750
651.24670   1.00432650
651.27026   1.01072330
651.29382   1.01380530
651.31738   1.01293730
651.34094   1.01643760
651.36450   1.01279410
651.38806   1.01033840
651.41156   1.00974430
651.43512   1.00693060
651.45862   0.99434261
651.48212   0.98432824
651.50562   0.99667625
651.52917   0.99881277
651.55261   1.00419550
651.57611   1.00260790
651.59961   0.99539180
651.62311   0.99102480
651.64655   0.97264891
651.67004   0.96473666
651.69348   0.97976362
651.71692   0.98749904
651.74036   0.99880392
651.76379   1.00332690
651.78723   1.00099580
651.81067   0.99780005
651.83411   1.00190480
651.85754   1.00689560
651.88092   0.99970401
651.90430   1.00509290
651.92767   0.99725920
651.95105   0.99845018
651.97449   1.00509100
651.99786   1.01840210
652.02124   1.02842000
652.04456   1.02594910
652.06799   1.03008430
652.09131   1.02803320
652.11462   1.02911090
652.13800   1.03038540
652.16132   1.02810600
652.18469   1.02355340
652.20795   1.00774160
652.23132   1.00634450
652.25458   1.00198330
652.27789   1.01286590
652.30115   1.00815910
652.32446   0.99654410
652.34778   0.99683886
652.37103   0.99255205
652.39435   0.99311110
652.41760   0.99265528
652.44080   1.00000590
652.46411   1.00538020
652.48737   0.99859170
652.51062   1.00255640
652.53381   1.00283890
652.55701   1.00114020
652.58026   1.00059490
652.60345   0.99701696
652.62671   0.99910420
652.64990   1.00184190
652.67310   1.00259000
652.69629   1.00135710
652.71948   1.00062010
652.74261   1.00425480
652.76581   0.99839729
652.78894   0.99280515
652.81213   1.00092870
652.83533   0.99862487
652.85846   1.00113770
652.88159   0.99505196
652.90472   1.00207860
652.92786   0.99953804
652.95099   0.99586204
652.97406   0.99475393
652.99719   0.99838983
653.02032   0.99444897
653.04340   0.99786726
653.06653   0.99283209
653.08960   0.99927161
653.11267   0.99408861
653.13574   1.00227160
653.15881   1.00328790
653.18188   1.00051580
653.20496   0.99472149
653.22797   0.99303968
653.25104   0.98993260
653.27405   0.99747588
653.29706   1.00243850
653.32013   1.00219070
653.34314   1.00714610
653.36609   1.00383980
653.38910   1.00017080
653.41211   0.99492268
653.43512   1.00050180
653.45813   1.00300770
653.48108   0.99994009
653.50403   1.00553040
653.52704   1.00696600
653.54999   1.00670080
653.57294   1.00424800
653.59589   1.00567230
653.61884   1.00773860
653.64172   1.01134690
653.66467   1.01043910
653.68762   1.00475330
653.71057   1.00799800
653.73346   1.01235560
653.75635   1.01808790
653.77924   1.01608680
653.80212   1.01393620
653.82507   1.01529110
653.84790   1.01908120
653.87079   1.01906170
653.89368   1.01797340
653.91650   1.01639020
653.93939   1.01320310
653.96222   1.01573940
653.98505   1.01803660
654.00793   1.02244230
654.03076   1.02103750
654.05359   1.01824410
654.07635   1.02176400
654.09924   1.02506390
654.12201   1.02368360
654.14484   1.01937240
654.16760   1.02658810
654.19037   1.02061940
654.21320   1.01962450
654.23596   1.02269020
654.25867   1.02558180
654.28149   1.02377470
654.30426   1.03630520
654.32703   1.03181240
654.34973   1.02863990
654.37244   1.01868510
654.39520   1.02076910
654.41791   1.02624470
654.44061   1.02914350
654.46332   1.04075970
654.48608   1.04532410
654.50873   1.04988040
654.53143   1.05012240
654.55414   1.05046520
654.57678   1.04515040
654.59949   1.05295860
654.62219   1.04980740
654.64484   1.05694460
654.66748   1.06279180
654.69012   1.06366880
654.71277   1.06562930
654.73547   1.06390040
654.75806   1.06312310
654.78064   1.06299180
654.80334   1.07271930
654.82593   1.06799710
654.84851   1.06605160
654.87115   1.07104720
654.89368   1.07562280
654.91632   1.08548420
654.93890   1.09332190
654.96149   1.10931500
654.98401   1.11141240
655.00659   1.12342580
655.02917   1.12954050
655.05170   1.14175480
655.07428   1.15321390
655.09680   1.16013570
655.11932   1.17039850
655.14185   1.18470740
655.16437   1.19797040
655.18689   1.20534550
655.20941   1.21293690
655.23187   1.21531430
655.25439   1.21906390
655.27692   1.24123210
655.29938   1.26671420
655.32184   1.28770070
655.34436   1.30938860
655.36682   1.33492500
655.38928   1.34268160
655.41174   1.37455790
655.43414   1.40882540
655.45660   1.43124880
655.47900   1.46385710
655.50146   1.49873920
655.52386   1.54037560
655.54626   1.59115570
655.56873   1.63345710
655.59113   1.69302940
655.61346   1.74093100
655.63586   1.81251640
655.65826   1.87064350
655.68066   1.94759920
655.70300   2.01136320
655.72540   2.09918230
655.74774   2.19847990
655.77008   2.30540290
655.79242   2.41531350
655.81482   2.54519480
655.83710   2.68474500
655.85944   2.81165140
655.88177   2.94196950
655.90411   3.09157870
655.92639   3.20592550
655.94867   3.33504540
655.97101   3.43120070
655.99329   3.51387180
656.01556   3.55677100
656.03784   3.61284290
656.06012   3.66400780
656.08240   3.70543570
656.10461   3.72507190
656.12689   3.71489390
656.14911   3.66455850
656.17139   3.62113170
656.19360   3.57342120
656.21588   3.52777340
656.23810   3.51110650
656.26031   3.51999830
656.28253   3.53542310
656.30469   3.58116960
656.32690   3.64923350
656.34906   3.70937680
656.37128   3.77252420
656.39343   3.84111480
656.41565   3.91917500
656.43781   4.01852860
656.45996   4.07695820
656.48212   4.11552720
656.50427   4.05248160
656.52643   3.94331160
656.54852   3.80427840
656.57068   3.65289830
656.59277   3.48374250
656.61487   3.33362470
656.63702   3.15814140
656.65912   2.98676440
656.68121   2.82548630
656.70331   2.66850320
656.72540   2.53800900
656.74744   2.41743280
656.76953   2.29790300
656.79163   2.19067630
656.81366   2.09744730
656.83575   2.00087050
656.85779   1.90778370
656.87982   1.82595010
656.90186   1.74976680
656.92389   1.69960290
656.94592   1.64163320
656.96790   1.59399590
656.98993   1.54468800
657.01196   1.50722530
657.03394   1.46682490
657.05597   1.43605050
657.07794   1.40122670
657.09991   1.36864120
657.12189   1.34593990
657.14386   1.32619050
657.16583   1.29971910
657.18781   1.28250270
657.20972   1.26623790
657.23169   1.24277950
657.25360   1.24180670
657.27551   1.23333110
657.29749   1.22634290
657.31940   1.22152490
657.34131   1.20268090
657.36316   1.19240370
657.38513   1.17471270
657.40698   1.16891930
657.42883   1.15350660
