%\*l[nm]	Flux relative to continuum flux
648.25159   0.80160755
648.27600   0.96041663
648.30029   0.94937155
648.32458   0.95088971
648.34900   0.94303947
648.37329   0.94168888
648.39758   0.95049089
648.42194   0.95134929
648.44617   0.96484748
648.47052   0.97665472
648.49475   0.98770483
648.51910   0.98909042
648.54333   0.96877844
648.56763   0.97228619
648.59192   0.97024777
648.61615   0.97667474
648.64038   0.96315432
648.66467   0.96931873
648.68884   0.95807383
648.71313   0.97091019
648.73737   0.99081618
648.76160   0.98178241
648.78577   0.98322205
648.81000   0.99764632
648.83417   0.98705216
648.85840   1.00885180
648.88257   1.00636590
648.90680   0.99216583
648.93097   1.01721900
648.95514   1.00448630
648.97931   0.99004719
649.00342   1.03012350
649.02759   0.99991700
649.05176   0.99210934
649.07587   0.96276307
649.09998   1.00292810
649.12415   1.00149920
649.14825   1.01933150
649.17236   1.02173580
649.19647   1.02090350
649.22058   1.03325500
649.24469   1.03370170
649.26880   0.99619506
649.29285   0.99674086
649.31696   1.01246550
649.34100   1.01814150
649.36511   1.03353260
649.38916   1.02470240
649.41321   1.01669050
649.43726   1.01194420
649.46130   1.01783350
649.48529   1.02949080
649.50934   1.02530700
649.53333   1.01607790
649.55737   0.98275749
649.58142   0.98048028
649.60541   0.98773277
649.62939   1.00548500
649.65344   0.99695529
649.67737   1.01251520
649.70135   1.00649750
649.72534   0.99046573
649.74933   0.99775975
649.77325   1.00736780
649.79724   1.01095270
649.82117   1.01480140
649.84509   0.99764763
649.86902   0.99639133
649.89294   0.99742442
649.91687   1.00720030
649.94080   0.99081836
649.96472   0.99341186
649.98865   0.99421204
650.01257   0.99531063
650.03644   0.99286295
650.06030   1.01015680
650.08417   0.99852342
650.10803   1.00615770
650.13196   0.98840531
650.15582   0.99677934
650.17963   0.99536326
650.20349   0.99601805
650.22736   1.00073390
650.25116   1.01662590
650.27502   0.97446705
650.29883   0.98647899
650.32263   0.99533654
650.34644   1.00385970
650.37024   0.99819118
650.39404   0.99298536
650.41785   0.98647038
650.44165   1.00750300
650.46545   0.98950150
650.48920   1.00363170
650.51294   0.99222394
650.53674   1.00121640
650.56049   1.01543060
650.58423   1.00321910
650.60797   1.00732390
650.63171   0.99089565
650.65540   1.00177310
650.67914   1.00719160
650.70288   1.00204810
650.72662   0.99055775
650.75031   0.97834960
650.77405   0.99832082
650.79773   0.99276006
650.82141   0.98158177
650.84509   0.98332007
650.86877   0.98765694
650.89246   0.99381093
650.91608   0.99020395
650.93976   0.99711215
650.96338   0.98267381
650.98700   0.98830810
651.01062   1.00049310
651.03430   0.96737276
651.05792   0.98913028
651.08154   0.99621805
651.10516   0.99501519
651.12878   0.99395925
651.15234   0.98932554
651.17596   0.98586057
651.19958   0.97503982
651.22314   0.99562960
651.24670   0.99662197
651.27026   1.00961440
651.29382   1.01516370
651.31738   1.02252570
651.34094   1.01638500
651.36450   1.03140780
651.38806   1.02092160
651.41156   1.03996160
651.43512   1.02522220
651.45862   1.01365010
651.48212   1.02180630
651.50562   1.02180080
651.52917   1.04992210
651.55261   1.03274600
651.57611   1.01596540
651.59961   1.01552210
651.62311   0.99742332
651.64655   0.97576668
651.67004   0.97109716
651.69348   1.00455420
651.71692   1.01660610
651.74036   1.02489330
651.76379   1.03640430
651.78723   1.02559040
651.81067   1.03776290
651.83411   1.04133160
651.85754   1.04398390
651.88092   1.03629730
651.90430   1.02466010
651.92767   1.00255140
651.95105   0.98922667
651.97449   0.98980897
651.99786   1.00118240
652.02124   1.02205890
652.04456   1.01145860
652.06799   1.00837430
652.09131   1.01157610
652.11462   0.99437233
652.13800   0.99623068
652.16132   0.99145379
652.18469   0.99173597
652.20795   0.99833056
652.23132   0.99339391
652.25458   1.00177240
652.27789   0.97772189
652.30115   0.98891491
652.32446   0.99672676
652.34778   0.97516524
652.37103   0.97255667
652.39435   0.96963672
652.41760   0.98217395
652.44080   0.98610866
652.46411   0.98331553
652.48737   0.99129392
652.51062   0.99485049
652.53381   0.97980440
652.55701   0.98070892
652.58026   0.98743667
652.60345   0.97702775
652.62671   0.98775067
652.64990   0.99963598
652.67310   0.98159367
652.69629   0.99008994
652.71948   1.00463740
652.74261   1.00070230
652.76581   0.99895803
652.78894   0.99209289
652.81213   0.99574460
652.83533   1.03526070
652.85846   1.00293080
652.88159   0.99574909
652.90472   0.98006134
652.92786   0.99546864
652.95099   0.99130633
652.97406   0.98485462
652.99719   0.98866881
653.02032   0.98985485
653.04340   0.97394416
653.06653   0.98602402
653.08960   0.98957746
653.11267   0.97902444
653.13574   0.98317059
653.15881   0.97782070
653.18188   0.99317401
653.20496   0.96894292
653.22797   0.97056552
653.25104   0.97427039
653.27405   0.98057038
653.29706   0.97241331
653.32013   0.99169869
653.34314   0.98383421
653.36609   0.98454959
653.38910   0.97974430
653.41211   0.96894325
653.43512   0.97863218
653.45813   0.98165613
653.48108   0.99439219
653.50403   0.97460704
653.52704   0.98568785
653.54999   0.99221373
653.57294   0.98977269
653.59589   0.97181807
653.61884   0.98645276
653.64172   0.97692675
653.66467   0.98005149
653.68762   0.98569589
653.71057   0.98851490
653.73346   0.98732846
653.75635   0.98435127
653.77924   0.99254062
653.80212   0.98987005
653.82507   0.98700202
653.84790   0.97813428
653.87079   0.98698720
653.89368   0.98429038
653.91650   0.98209832
653.93939   0.99757418
653.96222   0.98348402
653.98505   0.99309605
654.00793   0.99590503
654.03076   0.99216731
654.05359   0.98166078
654.07635   0.98223572
654.09924   0.98181119
654.12201   0.99056849
654.14484   0.98631494
654.16760   0.98774567
654.19037   0.96819982
654.21320   0.97499048
654.23596   0.99065096
654.25867   0.97377246
654.28149   0.97290668
654.30426   0.99204896
654.32703   0.97764356
654.34973   0.98525586
654.37244   0.95124886
654.39520   0.95272410
654.41791   0.95825707
654.44061   0.97393237
654.46332   0.98690477
654.48608   0.99240137
654.50873   0.99153337
654.53143   0.99196326
654.55414   0.99664673
654.57678   0.97992612
654.59949   0.98269744
654.62219   1.00040980
654.64484   0.97425098
654.66748   0.98703724
654.69012   0.99914659
654.71277   0.97824296
654.73547   0.99343515
654.75806   0.98543444
654.78064   0.99048832
654.80334   0.99627378
654.82593   0.98585368
654.84851   0.97467481
654.87115   0.97830491
654.89368   0.99506387
654.91632   1.00674250
654.93890   1.00540060
654.96149   1.00182150
654.98401   1.01507150
655.00659   0.99591830
655.02917   1.01625620
655.05170   1.01142840
655.07428   1.01789880
655.09680   1.02415300
655.11932   1.01416470
655.14185   1.01598880
655.16437   1.01484190
655.18689   1.01631670
655.20941   1.00387630
655.23187   1.01739930
655.25439   0.99109272
655.27692   1.02300020
655.29938   1.01253860
655.32184   1.02741460
655.34436   1.04459990
655.36682   1.03831060
655.38928   1.04325370
655.41174   1.04098140
655.43414   1.06298050
655.45660   1.06171280
655.47900   1.07514040
655.50146   1.08264560
655.52386   1.11319100
655.54626   1.11626060
655.56873   1.13525080
655.59113   1.15420450
655.61346   1.19044110
655.63586   1.21229350
655.65826   1.22577700
655.68066   1.25334190
655.70300   1.28731200
655.72540   1.34111780
655.74774   1.38650650
655.77008   1.45051970
655.79242   1.51570000
655.81482   1.56922100
655.83710   1.68265970
655.85944   1.77764300
655.88177   1.88069810
655.90411   2.04863010
655.92639   2.17438790
655.94867   2.39342040
655.97101   2.61010830
655.99329   2.85742240
656.01556   3.18005100
656.03784   3.48015120
656.06012   3.88918800
656.08240   4.30572430
656.10461   4.65519690
656.12689   5.02652870
656.14911   5.26626850
656.17139   5.50359650
656.19360   5.72721150
656.21588   6.00199950
656.23810   6.26374080
656.26031   6.46777760
656.28253   6.65405590
656.30469   6.70337480
656.32690   6.65579290
656.34906   6.56100660
656.37128   6.54277720
656.39343   6.37604200
656.41565   6.12613710
656.43781   5.92996550
656.45996   5.73833240
656.48212   5.51011520
656.50427   5.35632750
656.52643   5.13402640
656.54852   4.73572780
656.57068   4.43570770
656.59277   3.99234910
656.61487   3.61326420
656.63702   3.28605600
656.65912   2.97318390
656.68121   2.71131100
656.70331   2.49466590
656.72540   2.30606040
656.74744   2.15515970
656.76953   1.96982270
656.79163   1.87884300
656.81366   1.75836560
656.83575   1.65572760
656.85779   1.57782050
656.87982   1.50686050
656.90186   1.44285450
656.92389   1.42216970
656.94592   1.35155190
656.96790   1.29884790
656.98993   1.26489070
657.01196   1.22675040
657.03394   1.19523870
657.05597   1.17875250
657.07794   1.15112740
657.09991   1.12784960
657.12189   1.13645690
657.14386   1.10424150
657.16583   1.09949670
657.18781   1.07853150
657.20972   1.04928000
657.23169   1.03890070
657.25360   1.05240490
657.27551   1.06095860
657.29749   1.05283370
657.31940   1.03202430
657.34131   1.04382820
657.36316   1.05052890
657.38513   1.05502190
657.40698   1.03190730
657.42883   1.02986670
657.45081   1.01105960
657.47266   1.00519510
657.49451   0.99866280
657.51636   1.00031380
657.53821   1.01403490
657.56006   1.02425010
657.58191   1.01841210
657.60376   1.01910040
657.62561   0.99944942
657.64740   1.01393710
657.66925   1.02544610
657.69104   1.00488240
657.71283   0.98978612
657.73468   1.00599880
657.75647   1.00613450
657.77820   1.00938560
657.79999   1.00418620
657.82178   0.99111614
657.84357   1.00851880
657.86536   0.99003776
657.88708   0.97270074
657.90881   0.97231872
657.93054   0.99647697
657.95227   0.99217160
657.97406   0.99933521
657.99573   0.99752905
658.01746   0.96976608
658.03918   0.97472544
658.06091   0.98263705
658.08264   0.99843069
658.10431   0.97817769
658.12604   0.99351691
658.14771   0.99080946
658.16937   0.98397609
658.19104   1.00566770
658.21271   0.98494746
658.23438   1.01286490
658.25598   0.98810191
658.27765   1.00505810
658.29926   0.98895460
658.32092   1.00755540
658.34253   1.01737260
658.36414   1.00919650
658.38580   1.01124580
658.40735   1.00666760
658.42902   1.01860630
658.45056   0.99652064
658.47217   1.01812800
658.49377   1.01483820
658.51532   0.99584509
658.53693   0.97691062
658.55847   0.97929034
658.58002   0.99573434
658.60162   0.98845756
658.62317   0.99886553
658.64465   1.01393610
658.66620   1.01968290
658.68774   1.01802390
658.70929   1.01145170
658.73077   1.02101650
658.75232   1.02451640
658.77380   0.99089787
658.79529   1.03312600
658.81677   1.02668540
658.83826   1.00935890
658.85974   1.00331380
658.88123   1.00931440
658.90271   0.98960121
658.92413   1.03533440
658.94556   1.02346110
658.96704   1.03069660
658.98846   1.02123760
659.00989   1.02799260
659.03137   1.02114620
659.05273   0.99487413
659.07416   0.99938692
659.09558   1.02793010
659.11700   1.00135810
659.13837   1.03277250
659.15979   1.01273200
659.18115   0.99329008
659.20251   0.99750933
659.22394   1.00693410
659.24524   0.99924980
659.26666   1.02750080
659.28796   1.00626370
659.30933   1.00788900
659.33069   0.95613259
659.35199   0.99932614
659.37335   0.99488519
659.39465   1.00613170
659.41595   1.00858820
659.43732   0.95997040
659.45862   0.98484494
659.47986   0.97824093
659.50116   0.97680057
659.52246   1.00295800
659.54376   0.98055697
659.56506   0.98225014
659.58630   1.00094960
659.60754   0.97527588
659.62878   0.99869897
659.65002   1.01679750
659.67126   0.99639602
659.69250   1.00167330
659.71375   0.97596723
659.73499   0.98464167
659.75623   0.96795368
659.77740   0.99884101
659.79865   0.97039190
659.81982   1.00161990
659.84100   0.95381527
659.86218   0.95381982
659.88336   0.95456145
