%\*l[nm]	Flux relative to continuum flux
648.25159   0.95885064
648.27600   0.93634666
648.30029   0.94896855
648.32458   0.95879726
648.34900   0.96478511
648.37329   0.95768609
648.39758   0.97894664
648.42194   0.97816857
648.44617   0.98000954
648.47052   0.98548725
648.49475   0.99543582
648.51910   0.98841405
648.54333   0.98088145
648.56763   0.98758545
648.59192   0.99097962
648.61615   0.98504472
648.64038   0.98143929
648.66467   0.98059604
648.68884   0.98927104
648.71313   0.98716488
648.73737   0.99465294
648.76160   0.97906720
648.78577   0.98925601
648.81000   0.98504861
648.83417   0.99098824
648.85840   0.99760777
648.88257   0.98547456
648.90680   1.00069880
648.93097   0.99657856
648.95514   1.00758050
648.97931   1.01070010
649.00342   1.00683610
649.02759   0.98402186
649.05176   0.97377975
649.07587   0.97798667
649.09998   0.99070206
649.12415   0.99607513
649.14825   0.99519978
649.17236   1.00065680
649.19647   0.98941577
649.22058   0.99214047
649.24469   0.97895864
649.26880   0.97413436
649.29285   0.98493898
649.31696   0.99580344
649.34100   0.99634755
649.36511   1.00068730
649.38916   1.00110390
649.41321   0.99401629
649.43726   1.00579670
649.46130   1.00257090
649.48529   1.01446400
649.50934   1.00334290
649.53333   0.97933720
649.55737   0.97312279
649.58142   0.98513188
649.60541   0.99953887
649.62939   0.99527111
649.65344   1.00727730
649.67737   1.00843490
649.70135   0.99834048
649.72534   0.99585776
649.74933   0.99950163
649.77325   1.00912440
649.79724   1.01447210
649.82117   1.01451370
649.84509   1.00548030
649.86902   0.99863500
649.89294   1.01294610
649.91687   0.99247562
649.94080   1.00553700
649.96472   0.99797577
649.98865   1.00232350
650.01257   0.99440061
650.03644   0.99279056
650.06030   0.99735448
650.08417   0.99542901
650.10803   0.99086521
650.13196   1.00982290
650.15582   0.99107641
650.17963   0.99721565
650.20349   0.99460921
650.22736   0.98831955
650.25116   0.99862548
650.27502   0.99116719
650.29883   0.98480652
650.32263   0.99554390
650.34644   0.98350486
650.37024   0.99336572
650.39404   0.99123577
650.41785   0.99516607
650.44165   0.99077011
650.46545   0.99340662
650.48920   0.99329443
650.51294   0.98576711
