%\*l[nm]	Flux relative to continuum flux
648.25159   1.33616410
648.27600   1.11712730
648.30029   0.95772159
648.32458   0.95834369
648.34900   0.96451500
648.37329   0.96962040
648.39758   0.96680828
648.42194   1.00131450
648.44617   0.98409105
648.47052   0.99600872
648.49475   0.99515217
648.51910   1.00022270
648.54333   1.00245860
648.56763   0.99266505
648.59192   1.00623690
648.61615   1.00971600
648.64038   0.98780217
648.66467   0.98174915
648.68884   0.99313081
648.71313   0.99610901
648.73737   1.00399480
648.76160   0.98403367
648.78577   1.00411850
648.81000   0.99962421
648.83417   1.00685220
648.85840   0.98637471
648.88257   1.03415540
648.90680   1.00723360
648.93097   1.01932650
648.95514   1.01322000
648.97931   1.02828000
649.00342   1.02077460
649.02759   1.02170840
649.05176   0.98552661
649.07587   1.01162960
649.09998   1.02008830
649.12415   1.02766470
649.14825   1.03151740
649.17236   1.03815550
649.19647   1.02046720
649.22058   1.02349880
649.24469   1.02542540
649.26880   0.98647094
649.29285   1.00978960
649.31696   1.02011540
649.34100   1.03286480
649.36511   1.03879940
649.38916   1.01567960
649.41321   1.02422750
649.43726   1.03161620
649.46130   1.01855820
649.48529   1.01554420
649.50934   1.02533760
649.53333   1.00633430
649.55737   0.97661217
649.58142   0.97439986
649.60541   0.99704301
649.62939   0.99468488
649.65344   1.02019060
649.67737   0.99831141
649.70135   1.00055310
649.72534   0.99564500
649.74933   0.98761094
649.77325   0.98552766
649.79724   1.00878290
649.82117   0.99428088
649.84509   0.98543726
649.86902   0.99035755
649.89294   1.01022310
649.91687   0.96502134
649.94080   0.99728076
649.96472   0.99567628
649.98865   0.97942209
650.01257   0.98585297
650.03644   0.99205961
650.06030   0.99477657
650.08417   0.99023908
650.10803   0.98144622
650.13196   0.99198361
650.15582   0.98829861
650.17963   1.00378860
650.20349   0.99939423
650.22736   0.99695432
650.25116   0.99970952
650.27502   0.99129816
650.29883   0.99432940
650.32263   1.00851120
650.34644   0.98816141
650.37024   0.99801076
650.39404   0.99658353
650.41785   1.00926200
650.44165   0.99891965
650.46545   0.99276340
650.48920   1.01729380
650.51294   0.99306562
650.53674   1.00645010
650.56049   0.97722024
650.58423   0.99527315
650.60797   1.00480980
650.63171   0.99151139
650.65540   1.00224720
650.67914   0.99413147
650.70288   1.00757160
650.72662   0.98353265
650.75031   1.00181650
650.77405   0.98284012
650.79773   0.99702477
650.82141   0.98806871
650.84509   0.99917693
650.86877   0.98486096
650.89246   1.00293370
650.91608   1.00935150
650.93976   1.00105700
650.96338   0.99542491
650.98700   1.01205890
651.01062   1.00124670
651.03430   0.99460742
651.05792   1.00266260
651.08154   1.00409820
651.10516   1.00027600
651.12878   0.99709317
651.15234   1.00224370
651.17596   0.99969157
651.19958   0.99186812
651.22314   0.99439690
651.24670   0.99627792
651.27026   1.00634570
651.29382   1.00138130
651.31738   0.97752174
651.34094   1.01579470
651.36450   1.00833570
651.38806   1.01113970
651.41156   1.01136100
651.43512   0.99517081
651.45862   0.99795508
651.48212   0.97910175
651.50562   1.02095620
651.52917   1.01455110
651.55261   0.99895293
651.57611   1.01566840
651.59961   0.99181659
651.62311   0.97480290
651.64655   0.94464410
651.67004   0.99121634
651.69348   1.00375880
651.71692   1.00018140
651.74036   0.99670825
651.76379   1.02532990
651.78723   1.01362290
651.81067   0.99934158
651.83411   1.03735860
651.85754   1.02511120
651.88092   1.01386750
651.90430   1.00018610
651.92767   0.98907039
651.95105   0.98674878
651.97449   1.00347680
651.99786   1.01984810
652.02124   1.01617890
652.04456   1.00078890
652.06799   1.00057060
652.09131   0.99954850
652.11462   1.01032260
652.13800   0.99702897
652.16132   1.00073150
652.18469   1.00978880
652.20795   0.96597611
652.23132   0.97754286
