%\*l[nm]	Flux relative to continuum flux
648.85840   0.97508529
648.88257   0.97800370
648.90680   0.98148267
648.93097   0.99244035
648.95514   0.98536105
648.97931   0.98802252
649.00342   0.98032245
649.02759   0.97388218
649.05176   0.94848908
649.07587   0.97425370
649.09998   0.99488513
649.12415   1.00269460
649.14825   1.00464440
649.17236   1.00280140
649.19647   1.00199420
649.22058   0.99647618
649.24469   0.97865914
649.26880   0.96742043
649.29285   0.98151985
649.31696   1.00378070
649.34100   1.00719500
649.36511   1.01093090
649.38916   1.00484030
649.41321   0.99769069
649.43726   1.00252640
649.46130   1.00596980
649.48529   1.01115640
649.50934   0.99511169
649.53333   0.98236298
649.55737   0.96026621
649.58142   0.97620450
649.60541   0.99468415
649.62939   1.00484020
649.65344   1.00621610
649.67737   1.00677260
649.70135   0.99936633
649.72534   0.99089459
649.74933   0.99149723
649.77325   0.99867933
649.79724   1.01425560
649.82117   1.01215500
649.84509   1.00274240
649.86902   1.00740430
649.89294   1.00976510
649.91687   0.99950807
649.94080   0.99501514
649.96472   1.00160290
649.98865   0.99942508
650.01257   0.99766538
650.03644   1.00075390
650.06030   1.00446100
650.08417   0.99707979
650.10803   0.99871461
650.13196   0.99564197
650.15582   0.99700039
650.17963   0.99939892
650.20349   0.99808303
650.22736   0.99512928
650.25116   0.99961954
650.27502   0.99182400
650.29883   0.99680299
650.32263   0.99541359
650.34644   0.98678875
650.37024   0.99162355
650.39404   0.98693165
650.41785   0.98824603
650.44165   0.98597598
650.46545   0.99780908
650.48920   0.99124159
650.51294   0.99192847
650.53674   1.00001860
650.56049   0.99429518
650.58423   0.99510536
650.60797   0.99157250
650.63171   1.00159380
650.65540   0.99432196
650.67914   1.00054630
650.70288   0.99835131
650.72662   0.99343164
650.75031   0.99147995
650.77405   0.99566688
650.79773   0.98814241
650.82141   0.97628321
650.84509   0.98407431
650.86877   0.98144772
650.89246   0.99809696
650.91608   0.99930231
650.93976   0.99938383
650.96338   1.00417950
650.98700   1.00756410
651.01062   0.99384286
651.03430   0.99723776
651.05792   1.00472360
651.08154   1.00128270
651.10516   0.99899381
651.12878   1.00229600
651.15234   0.99622303
651.17596   0.99618524
651.19958   1.00317160
651.22314   1.02274920
651.24670   1.02693100
651.27026   1.03627230
651.29382   1.03500600
651.31738   1.02143770
651.34094   1.02653570
651.36450   1.02559290
651.38806   1.02017940
651.41156   1.00017660
651.43512   0.98327101
651.45862   0.99178883
651.48212   0.99133889
651.50562   1.01061160
651.52917   1.01152910
651.55261   0.99875277
651.57611   1.00007630
651.59961   0.97902554
651.62311   0.95592278
651.64655   0.95248105
651.67004   0.97778806
651.69348   1.03483100
651.71692   1.02115080
651.74036   1.02174570
651.76379   1.01026780
651.78723   1.00596450
651.81067   1.00311110
651.83411   1.00601020
651.85754   1.00452930
651.88092   0.98395270
651.90430   0.98025063
651.92767   0.97192817
651.95105   0.98122133
651.97449   0.99701829
651.99786   1.00015730
652.02124   1.00638550
652.04456   1.00816980
652.06799   1.00302960
652.09131   1.00195110
652.11462   0.99952742
652.13800   1.00254510
652.16132   0.99993207
652.18469   1.00012570
652.20795   0.99823537
652.23132   1.00661990
652.25458   1.00610840
652.27789   1.00043900
652.30115   0.99718944
652.32446   0.98234131
652.34778   0.96917170
652.37103   0.97675654
652.39435   0.98396839
652.41760   0.99730842
652.44080   1.00455320
652.46411   1.00132300
652.48737   1.00413230
652.51062   1.00080760
652.53381   0.99675971
652.55701   1.00207430
652.58026   0.99947597
652.60345   0.99979316
652.62671   0.99955034
652.64990   0.99793968
652.67310   1.00425180
652.69629   1.00057130
652.71948   0.99899402
652.74261   0.99818781
652.76581   1.00311150
652.78894   0.99885175
652.81213   0.99641830
652.83533   1.00235820
652.85846   1.00093060
652.88159   1.00227150
652.90472   0.99746767
652.92786   1.00110850
652.95099   1.00156330
652.97406   1.00053420
652.99719   0.99464740
653.02032   0.98649762
653.04340   0.99450757
653.06653   0.99851793
653.08960   0.99245105
653.11267   0.99782600
653.13574   0.99234649
653.15881   0.99378186
653.18188   0.97855763
653.20496   0.97108588
653.22797   0.97520179
653.25104   0.97877144
653.27405   0.99207803
653.29706   1.00365380
653.32013   0.99190681
653.34314   0.99166554
653.36609   0.98487606
653.38910   0.97714680
653.41211   0.98689017
653.43512   0.98924480
653.45813   0.98569748
653.48108   0.99745432
653.50403   0.98981036
653.52704   0.99882958
653.54999   0.99286994
653.57294   1.00030190
653.59589   0.99453082
653.61884   0.99149255
653.64172   0.99028413
653.66467   0.99225577
653.68762   0.98693137
653.71057   0.99314991
653.73346   0.99875773
653.75635   0.99140701
653.77924   0.99423592
653.80212   0.99699085
653.82507   1.00215200
653.84790   0.99193952
653.87079   0.98577948
653.89368   0.98851864
653.91650   0.98624202
653.93939   0.98704566
653.96222   0.98689921
653.98505   0.98897859
654.00793   0.99181475
654.03076   0.98229717
654.05359   0.98489280
654.07635   0.98335428
654.09924   0.98129826
654.12201   0.98088104
654.14484   0.97926879
654.16760   0.96935932
654.19037   0.96964557
654.21320   0.96795408
654.23596   0.97067350
654.25867   0.97424159
654.28149   0.96535380
654.30426   0.96032391
654.32703   0.95412070
654.34973   0.93386287
654.37244   0.92857971
654.39520   0.94001906
654.41791   0.95690413
654.44061   0.95307528
654.46332   0.96295955
654.48608   0.96293968
654.50873   0.96574882
654.53143   0.96296956
654.55414   0.95937326
654.57678   0.95519507
654.59949   0.96020196
654.62219   0.96476207
654.64484   0.95321855
654.66748   0.95622297
654.69012   0.95937194
