%\*l[nm]	Flux relative to continuum flux
648.25159   0.98939064
648.27600   0.98687533
648.30029   0.97862378
648.32458   0.97024883
648.34900   0.97118852
648.37329   0.96891147
648.39758   0.97061126
648.42194   0.98894020
648.44617   0.99312732
648.47052   0.99327133
648.49475   0.99909683
648.51910   0.99981868
648.54333   0.99887798
648.56763   0.99943389
648.59192   1.00776980
648.61615   1.00349580
648.64038   0.99758164
648.66467   0.99230788
648.68884   0.99520596
648.71313   1.00510420
648.73737   1.00726370
648.76160   1.00578760
648.78577   1.00780410
648.81000   1.00870760
648.83417   1.01738230
648.85840   1.01681590
648.88257   1.01541310
648.90680   1.01065740
648.93097   1.01753490
648.95514   1.02513650
648.97931   1.02606630
649.00342   1.02504200
649.02759   1.02872240
649.05176   1.02066170
649.07587   1.00643020
649.09998   1.01248860
649.12415   1.02294710
649.14825   1.03533120
649.17236   1.03059500
649.19647   1.03014750
649.22058   1.02826450
649.24469   1.02450080
649.26880   1.01499260
649.29285   1.00545610
649.31696   1.01029210
649.34100   1.02056750
649.36511   1.02555630
649.38916   1.02981400
649.41321   1.02718250
649.43726   1.02425850
649.46130   1.01973230
649.48529   1.02725060
649.50934   1.03381580
649.53333   1.02483040
649.55737   1.01639710
649.58142   0.99914064
649.60541   1.00382210
649.62939   1.01780930
649.65344   1.01968070
649.67737   1.01475990
649.70135   1.01217150
649.72534   0.99885011
649.74933   1.00248130
649.77325   1.00092710
649.79724   1.00246580
649.82117   1.00610810
649.84509   1.00158990
649.86902   1.00487470
649.89294   1.00200020
649.91687   1.00510280
649.94080   1.00003630
649.96472   0.99654067
649.98865   1.00194530
650.01257   1.00236230
650.03644   0.99896974
650.06030   0.99498318
650.08417   0.99939220
650.10803   0.99600386
650.13196   0.99343212
650.15582   1.00010880
650.17963   0.99648997
650.20349   0.99443914
650.22736   0.99235854
650.25116   1.00389720
650.27502   0.99321803
650.29883   1.00077670
650.32263   0.99850037
650.34644   0.99473094
650.37024   1.00066160
650.39404   0.99643440
650.41785   1.00113480
650.44165   1.00163280
650.46545   1.00150200
650.48920   1.00259560
650.51294   0.99689651
650.53674   1.00194950
650.56049   0.99877304
650.58423   1.00107990
650.60797   0.99708433
650.63171   1.00370470
650.65540   0.99711846
650.67914   0.99603295
650.70288   1.00238500
650.72662   0.99866163
650.75031   0.99545360
650.77405   0.99518238
650.79773   1.00158900
650.82141   0.99615453
650.84509   0.99159836
650.86877   0.99275147
650.89246   0.99570618
650.91608   0.99692855
650.93976   0.99590508
650.96338   0.99498159
650.98700   0.99940316
651.01062   0.99718803
651.03430   0.99974924
651.05792   0.99453314
651.08154   0.99919375
651.10516   0.99851392
651.12878   0.99684168
651.15234   1.00343410
651.17596   0.99765752
651.19958   1.00056210
651.22314   1.00131660
651.24670   1.00603590
651.27026   1.01672610
651.29382   1.02286460
651.31738   1.02951520
651.34094   1.03061550
651.36450   1.02476610
651.38806   1.03223000
651.41156   1.02730970
651.43512   1.01970570
651.45862   1.00805280
651.48212   1.00274380
651.50562   1.00704990
651.52917   1.01819250
651.55261   1.01766130
651.57611   1.00880990
651.59961   1.00863240
651.62311   1.00087300
651.64655   0.98123371
651.67004   0.97404050
651.69348   0.99242935
651.71692   0.99988871
651.74036   1.01068930
651.76379   1.01727470
651.78723   1.01584620
651.81067   1.02210110
651.83411   1.02396050
651.85754   1.02712970
651.88092   1.02402500
651.90430   1.02812770
651.92767   1.02201960
651.95105   1.01862310
651.97449   1.02251040
651.99786   1.02350460
652.02124   1.02305500
652.04456   1.02201350
652.06799   1.02018400
652.09131   1.01832390
652.11462   1.01659270
652.13800   1.00850170
652.16132   1.01099630
652.18469   1.00361070
652.20795   0.99740669
652.23132   0.99102030
652.25458   0.99842455
652.27789   0.99288337
652.30115   0.99112537
652.32446   0.99411931
652.34778   0.98244497
652.37103   0.97884077
652.39435   0.97982584
652.41760   0.98529597
652.44080   0.99359802
652.46411   0.99268616
652.48737   0.99782591
652.51062   0.99223619
652.53381   0.99569602
652.55701   0.99837532
652.58026   0.99076763
652.60345   0.99373166
652.62671   0.99932558
652.64990   0.99310619
652.67310   0.99378938
652.69629   0.99752216
652.71948   0.99896630
652.74261   0.99670210
652.76581   0.99394657
652.78894   1.00129980
652.81213   0.99691546
652.83533   1.00203290
652.85846   1.00090720
652.88159   1.00094850
652.90472   1.00121050
652.92786   1.00070580
652.95099   1.00204510
652.97406   1.00309650
652.99719   0.99925138
653.02032   0.99744133
653.04340   0.99997633
653.06653   0.99704393
653.08960   1.00098650
653.11267   0.99840283
653.13574   1.00280920
653.15881   1.00224610
653.18188   0.99934589
653.20496   0.99634194
653.22797   0.99463293
653.25104   0.99277674
653.27405   0.99851327
653.29706   0.99878480
653.32013   1.01038530
653.34314   1.00819720
653.36609   1.00912830
653.38910   1.00445650
653.41211   0.99710645
653.43512   1.00427100
653.45813   1.00582250
653.48108   1.00776380
653.50403   1.00813610
653.52704   1.01408920
653.54999   1.01243470
653.57294   1.01345730
653.59589   1.01531220
653.61884   1.01015770
653.64172   1.01410570
653.66467   1.01253860
653.68762   1.01226880
653.71057   1.01571680
653.73346   1.01320510
653.75635   1.01391220
653.77924   1.01617550
653.80212   1.01840130
653.82507   1.01970740
653.84790   1.01308330
653.87079   1.02050010
653.89368   1.01667140
653.91650   1.01778350
653.93939   1.02061990
653.96222   1.02650170
653.98505   1.02371760
654.00793   1.02445120
654.03076   1.02662950
654.05359   1.02384020
654.07635   1.02762960
654.09924   1.02867000
654.12201   1.02996150
654.14484   1.03446070
654.16760   1.02872790
654.19037   1.03231970
654.21320   1.03375780
654.23596   1.03185620
654.25867   1.03144600
654.28149   1.03431550
654.30426   1.03882440
654.32703   1.04078110
654.34973   1.03472330
654.37244   1.02624510
654.39520   1.02774100
654.41791   1.03462020
654.44061   1.04082440
654.46332   1.05045760
654.48608   1.05988810
654.50873   1.05817520
654.53143   1.06261160
654.55414   1.06368550
654.57678   1.06431550
654.59949   1.06758600
654.62219   1.06730290
654.64484   1.07046410
654.66748   1.07382800
654.69012   1.07534050
654.71277   1.07800670
654.73547   1.07913740
654.75806   1.08196510
654.78064   1.07855390
654.80334   1.08825190
654.82593   1.08816050
654.84851   1.08611000
654.87115   1.08667190
654.89368   1.09399930
654.91632   1.10176720
654.93890   1.11176580
654.96149   1.11479710
654.98401   1.12163680
655.00659   1.12464250
655.02917   1.13509110
655.05170   1.13736630
655.07428   1.14342740
655.09680   1.14907240
655.11932   1.15759630
655.14185   1.16193030
655.16437   1.17123760
655.18689   1.17485310
655.20941   1.17938300
655.23187   1.18387470
655.25439   1.17995710
655.27692   1.19365240
655.29938   1.20803390
655.32184   1.23282150
655.34436   1.23978590
655.36682   1.24860100
655.38928   1.26326810
655.41174   1.28410280
655.43414   1.29932890
655.45660   1.32497780
655.47900   1.34406310
655.50146   1.36160920
655.52386   1.38833940
655.54626   1.42243930
655.56873   1.45113960
655.59113   1.48761200
655.61346   1.52387130
655.63586   1.57332400
655.65826   1.61885890
655.68066   1.66954310
655.70300   1.71828180
655.72540   1.79292320
655.74774   1.87226480
655.77008   1.96089220
655.79242   2.06029860
655.81482   2.16391330
655.83710   2.28182500
655.85944   2.41762920
655.88177   2.56503660
655.90411   2.73318150
655.92639   2.87317310
655.94867   3.03998940
655.97101   3.20333920
655.99329   3.37073250
656.01556   3.50111820
656.03784   3.65406200
656.06012   3.77048320
656.08240   3.90751750
656.10461   4.03929580
656.12689   4.22764320
656.14911   4.39173080
656.17139   4.54519170
656.19360   4.66059360
656.21588   4.71621070
656.23810   4.71440040
656.26031   4.68967410
656.28253   4.67731420
656.30469   4.65037680
656.32690   4.64694350
656.34906   4.61092410
656.37128   4.59918840
656.39343   4.55239310
656.41565   4.48471120
656.43781   4.39306650
656.45996   4.27872650
656.48212   4.14836340
656.50427   3.99950140
656.52643   3.86757840
656.54852   3.75089330
656.57068   3.63314540
656.59277   3.49206360
656.61487   3.35026330
656.63702   3.19722610
656.65912   3.02763800
656.68121   2.86528850
656.70331   2.71952400
656.72540   2.56954340
656.74744   2.43142550
656.76953   2.30524640
656.79163   2.18102220
656.81366   2.07077190
656.83575   1.97740160
656.85779   1.89400500
656.87982   1.80804430
656.90186   1.74179340
656.92389   1.67212550
656.94592   1.63416070
656.96790   1.58333000
656.98993   1.54236130
657.01196   1.49914400
657.03394   1.46338300
657.05597   1.42983620
657.07794   1.40001860
657.09991   1.37573040
657.12189   1.35380850
657.14386   1.33364540
657.16583   1.30681730
657.18781   1.28877270
657.20972   1.26163420
657.23169   1.25433770
657.25360   1.24215400
657.27551   1.24018950
657.29749   1.22594330
657.31940   1.22185030
657.34131   1.20845480
657.36316   1.20175300
657.38513   1.18820400
657.40698   1.17882390
657.42883   1.16881530
657.45081   1.15779810
657.47266   1.14552690
657.49451   1.13111210
657.51636   1.12783970
657.53821   1.13243330
657.56006   1.12690420
657.58191   1.13344740
657.60376   1.12263160
657.62561   1.12176970
657.64740   1.10966270
657.66925   1.10416030
657.69104   1.10499570
657.71283   1.11044480
657.73468   1.10152890
657.75647   1.08815380
657.77820   1.09050900
657.79999   1.08824820
657.82178   1.07751460
657.84357   1.08266280
657.86536   1.07466120
657.88708   1.07423050
657.90881   1.06725960
657.93054   1.07267670
657.95227   1.05994760
657.97406   1.06955300
657.99573   1.06454330
658.01746   1.06506710
658.03918   1.05607640
658.06091   1.05600820
658.08264   1.05364980
658.10431   1.05438390
658.12604   1.05518510
658.14771   1.05557950
658.16937   1.04971970
658.19104   1.05001420
658.21271   1.04781650
658.23438   1.04861320
658.25598   1.04556930
658.27765   1.04678720
658.29926   1.04002430
658.32092   1.03952150
658.34253   1.04521160
658.36414   1.04431010
658.38580   1.03956310
658.40735   1.05053710
658.42902   1.04519710
658.45056   1.04646470
658.47217   1.03845580
658.49377   1.03837140
658.51532   1.03463040
658.53693   1.03899660
658.55847   1.03979620
658.58002   1.03929100
658.60162   1.03473100
658.62317   1.02874540
658.64465   1.02977480
658.66620   1.01857340
658.68774   1.02277450
658.70929   1.03042890
658.73077   1.03146930
658.75232   1.03077100
658.77380   1.02525070
658.79529   1.01821760
658.81677   1.02318010
658.83826   1.03104550
658.85974   1.02533310
658.88123   1.03039680
658.90271   1.02903420
658.92413   1.02746540
658.94556   1.01837830
658.96704   1.02608620
658.98846   1.02402970
659.00989   1.02302990
659.03137   1.02291630
659.05273   1.02111140
659.07416   1.02070430
659.09558   1.01812610
659.11700   1.01787810
659.13837   1.01186280
659.15979   1.00815730
659.18115   1.01239200
659.20251   1.00633070
659.22394   1.00435100
659.24524   1.00521770
659.26666   1.01073400
659.28796   1.00395640
659.30933   1.00358140
659.33069   0.99856031
659.35199   0.99628203
659.37335   1.00444560
659.39465   0.99956590
659.41595   0.99894142
659.43732   0.99575241
659.45862   0.99846957
659.47986   1.00751080
659.50116   0.99518195
659.52246   1.00109930
659.54376   1.00154410
659.56506   1.00142610
659.58630   1.01152730
659.60754   1.01162230
659.62878   1.00164750
659.65002   0.99593602
659.67126   1.00155800
659.69250   0.99626604
659.71375   0.99239471
659.73499   0.99162025
659.75623   0.99448487
659.77740   0.98839057
659.79865   0.99968599
659.81982   0.99721933
659.84100   0.93913478
659.86218   0.93811186
659.88336   0.93788770
