%\*l[nm]	Flux relative to continuum flux
648.25159   0.95470487
648.27600   0.91857857
648.30029   0.92843741
648.32458   0.93215751
648.34900   0.93454585
648.37329   0.95644445
648.39758   0.96231708
648.42194   0.96531935
648.44617   0.97024705
648.47052   0.98007416
648.49475   0.98779808
648.51910   0.98472028
648.54333   0.96339505
648.56763   0.97566084
648.59192   0.97466967
648.61615   0.96918526
648.64038   0.95276927
648.66467   0.95130444
648.68884   0.97540504
648.71313   0.95961220
648.73737   0.97198577
648.76160   0.96481330
648.78577   0.96691103
648.81000   0.97095324
648.83417   0.97890398
648.85840   0.98803482
648.88257   0.96129690
648.90680   0.97665186
648.93097   0.98950904
648.95514   0.98322646
648.97931   0.99164952
649.00342   1.01264680
649.02759   0.99731574
649.05176   0.98375966
649.07587   0.99436466
649.09998   0.99348385
649.12415   1.02009930
649.14825   1.03338510
649.17236   1.05353940
649.19647   1.05238250
649.22058   1.05557790
649.24469   1.05124720
649.26880   1.01921570
649.29285   1.02026750
649.31696   1.02381420
649.34100   1.03560880
649.36511   1.04470650
649.38916   1.03883330
649.41321   1.02922470
649.43726   1.02733300
649.46130   1.01753590
649.48529   1.02557580
649.50934   0.99534792
649.53333   0.96758570
649.55737   0.94994718
649.58142   0.94730892
649.60541   0.97285908
649.62939   0.97895682
649.65344   0.99210368
649.67737   0.98400413
649.70135   0.96872428
649.72534   0.96819541
649.74933   0.96756966
649.77325   0.98394439
649.79724   0.97586956
649.82117   0.99515067
649.84509   0.97409689
649.86902   0.99300049
649.89294   0.98107827
649.91687   0.97176548
649.94080   0.97911990
649.96472   0.97833704
649.98865   0.98410519
650.01257   0.98680997
650.03644   0.97821570
650.06030   0.98685069
650.08417   0.97619694
650.10803   0.97565887
650.13196   0.96930564
650.15582   0.97195335
650.17963   0.97633012
650.20349   0.97351409
650.22736   0.97987817
650.25116   0.97985816
650.27502   0.98372848
650.29883   0.98292633
650.32263   0.99036892
650.34644   0.97662419
650.37024   0.99123057
650.39404   0.98289992
650.41785   0.98116958
650.44165   0.98337039
650.46545   0.99693009
650.48920   1.00214070
650.51294   1.01370630
650.53674   1.02088510
650.56049   1.00698650
650.58423   1.01223340
650.60797   1.00990860
650.63171   1.00863310
650.65540   0.99518276
650.67914   1.00369670
650.70288   1.00895060
650.72662   1.00378610
650.75031   0.99615627
650.77405   1.00606070
650.79773   0.98356853
650.82141   0.99017806
650.84509   0.97205273
650.86877   0.97588682
650.89246   0.99724952
650.91608   0.99056235
650.93976   1.00005030
650.96338   0.99090544
650.98700   0.99786042
651.01062   0.97704112
651.03430   1.00293240
651.05792   0.99248433
651.08154   0.98810926
651.10516   0.98490574
651.12878   0.98823330
651.15234   0.97708286
651.17596   0.97626959
651.19958   0.98795317
651.22314   0.97617882
651.24670   0.97797643
651.27026   0.99867276
651.29382   0.99534302
651.31738   0.98743966
651.34094   0.98957616
651.36450   0.99164185
651.38806   0.97962370
651.41156   0.98621747
651.43512   0.95581584
651.45862   0.96119057
651.48212   1.01220710
651.50562   1.02793380
651.52917   1.04302550
651.55261   1.03805190
651.57611   1.04101550
651.59961   1.03176470
651.62311   1.00351160
651.64655   0.99218115
651.67004   0.99835884
651.69348   1.02053940
651.71692   1.04264640
651.74036   1.04597940
651.76379   1.03514620
651.78723   1.04412370
651.81067   1.03705830
651.83411   1.04497320
651.85754   1.02914930
651.88092   1.02565800
651.90430   0.99057743
651.92767   0.97520744
651.95105   1.00090570
651.97449   0.99583759
651.99786   1.01089970
652.02124   1.01027720
652.04456   1.00465550
652.06799   0.98640901
652.09131   0.98859895
652.11462   0.97885247
652.13800   0.99429609
652.16132   0.98364831
652.18469   0.99617108
652.20795   1.00214650
652.23132   1.00867790
652.25458   0.99601010
652.27789   0.98417463
652.30115   0.97976019
652.32446   0.97351230
652.34778   0.96605955
652.37103   0.96436040
652.39435   0.96972335
652.41760   0.98690687
652.44080   0.99179333
652.46411   0.99369886
652.48737   1.00068070
652.51062   1.00115920
652.53381   0.98204351
652.55701   0.98561965
652.58026   0.98734118
652.60345   0.99121614
652.62671   0.98658541
652.64990   0.97977393
652.67310   0.99088066
652.69629   0.99209922
652.71948   0.99223640
652.74261   0.98780769
652.76581   0.99927721
652.78894   0.98774004
652.81213   0.99345848
652.83533   0.99597253
652.85846   0.99809591
652.88159   1.00806800
652.90472   1.00352520
652.92786   1.00176410
652.95099   1.01339800
652.97406   1.00190610
652.99719   0.99412626
653.02032   0.99370106
653.04340   0.99753211
653.06653   1.00716520
653.08960   1.00300200
653.11267   1.00073240
653.13574   0.99804066
653.15881   1.00855180
653.18188   0.99140508
653.20496   0.97424327
653.22797   0.97544035
653.25104   0.99125834
653.27405   1.00756730
653.29706   1.01617700
653.32013   1.01339980
653.34314   1.01120080
653.36609   1.00660160
653.38910   1.00196640
653.41211   1.00099100
653.43512   1.00121820
653.45813   1.01055480
653.48108   1.02114320
653.50403   1.00886720
653.52704   1.01107680
653.54999   1.01697690
653.57294   1.01035840
653.59589   1.01152460
653.61884   1.01536020
653.64172   0.99371820
653.66467   1.01505520
653.68762   1.01899800
653.71057   1.01160970
653.73346   1.01997820
653.75635   1.02180000
653.77924   1.01375050
653.80212   1.02361580
653.82507   1.02491080
653.84790   1.01609530
653.87079   1.01659790
653.89368   1.01942760
653.91650   1.01786410
653.93939   1.01636270
653.96222   1.01999260
653.98505   1.01659110
654.00793   1.01801880
654.03076   1.02286360
654.05359   1.03677180
654.07635   1.03183280
654.09924   1.01605190
654.12201   1.03465530
654.14484   1.02258420
654.16760   1.01582800
654.19037   1.02111670
654.21320   1.00531280
654.23596   1.03870960
654.25867   1.02550660
654.28149   1.03352700
654.30426   1.03359850
654.32703   1.02360040
654.34973   1.02029640
654.37244   1.00391350
654.39520   1.01955680
654.41791   1.02219650
654.44061   1.04990260
654.46332   1.06973440
654.48608   1.06093990
654.50873   1.05667980
654.53143   1.06263890
654.55414   1.05392920
654.57678   1.05597240
654.59949   1.07132140
654.62219   1.06719960
654.64484   1.06561010
654.66748   1.07018760
654.69012   1.07236300
654.71277   1.07515170
654.73547   1.08609290
654.75806   1.05669470
654.78064   1.08040560
654.80334   1.07178180
654.82593   1.06126800
654.84851   1.07190110
654.87115   1.08294560
654.89368   1.07390640
654.91632   1.10008900
654.93890   1.10844650
654.96149   1.10202600
654.98401   1.10938790
655.00659   1.11350270
655.02917   1.11169210
655.05170   1.11982220
655.07428   1.12579910
655.09680   1.12959890
655.11932   1.14527170
655.14185   1.14976040
655.16437   1.13181630
655.18689   1.14948810
655.20941   1.12839360
655.23187   1.12465750
655.25439   1.13868250
655.27692   1.15715450
655.29938   1.18475490
655.32184   1.19491620
655.34436   1.18603490
655.36682   1.19373840
655.38928   1.21657610
655.41174   1.23857670
655.43414   1.24917420
655.45660   1.25426660
655.47900   1.28071760
655.50146   1.28881470
655.52386   1.30811740
655.54626   1.35393590
655.56873   1.34828810
655.59113   1.38571860
655.61346   1.41659970
655.63586   1.43396600
655.65826   1.46886190
655.68066   1.49080690
655.70300   1.54054850
655.72540   1.59821460
655.74774   1.65710210
655.77008   1.73153910
655.79242   1.78962430
655.81482   1.87957310
655.83710   1.97414210
655.85944   2.09950620
655.88177   2.23980240
655.90411   2.37965310
655.92639   2.61814230
655.94867   2.83878120
655.97101   3.11377870
655.99329   3.43448080
656.01556   3.83725480
656.03784   4.33320370
656.06012   4.95159280
656.08240   5.68714760
656.10461   6.56826690
656.12689   7.44233480
656.14911   8.12239940
656.17139   8.65682910
656.19360   9.06617950
656.21588   9.91276600
656.23810  11.12893500
656.26031  12.55172800
656.28253  13.83889800
656.30469  14.07990100
656.32690  13.39671000
656.34906  12.51935200
656.37128  11.15688400
656.39343  10.20728300
656.41565   9.32960030
656.43781   8.46772960
656.45996   7.60001980
656.48212   6.58312920
656.50427   5.74512590
656.52643   5.03204320
656.54852   4.36307300
656.57068   3.90616270
656.59277   3.54558160
656.61487   3.17240610
656.63702   2.90661550
656.65912   2.67673210
656.68121   2.54447650
656.70331   2.37852680
656.72540   2.22343200
656.74744   2.08861820
656.76953   1.99824710
656.79163   1.89787170
656.81366   1.77969950
656.83575   1.71627260
656.85779   1.64418560
656.87982   1.58823270
656.90186   1.55090040
656.92389   1.50910370
656.94592   1.45294610
656.96790   1.41947120
656.98993   1.42298640
657.01196   1.38555170
657.03394   1.35704140
657.05597   1.33105750
657.07794   1.33219720
657.09991   1.28610300
657.12189   1.27876800
657.14386   1.23590030
657.16583   1.23240030
657.18781   1.19299780
657.20972   1.18950800
657.23169   1.20314170
657.25360   1.20207200
657.27551   1.18576500
657.29749   1.19708550
657.31940   1.14135260
657.34131   1.16073600
657.36316   1.15158200
657.38513   1.15462630
657.40698   1.13900010
657.42883   1.12188670
657.45081   1.10530730
657.47266   1.07999780
657.49451   1.09180400
657.51636   1.09683520
657.53821   1.08593870
657.56006   1.11619580
657.58191   1.10415540
657.60376   1.09429720
657.62561   1.08845460
657.64740   1.08019100
657.66925   1.07627470
657.69104   1.07117110
657.71283   1.06860420
657.73468   1.06528320
657.75647   1.08242180
657.77820   1.05499780
657.79999   1.06379580
657.82178   1.06696630
657.84357   1.07385130
657.86536   1.04952500
657.88708   1.06201840
657.90881   1.05877150
657.93054   1.04199430
657.95227   1.04847900
657.97406   1.05883050
657.99573   1.06650420
658.01746   1.04962220
658.03918   1.05614520
658.06091   1.05813100
658.08264   1.05139240
658.10431   1.05924840
658.12604   1.05500670
658.14771   1.04858150
658.16937   1.07061710
658.19104   1.06519980
658.21271   1.05497040
658.23438   1.04085090
658.25598   1.04263900
658.27765   1.03337850
658.29926   1.06048120
658.32092   1.05003790
658.34253   1.02645880
658.36414   1.05925760
658.38580   1.04658330
658.40735   1.05116690
658.42902   1.05113290
658.45056   1.05613460
658.47217   1.04733700
658.49377   1.06106140
658.51532   1.05295520
658.53693   1.06763840
658.55847   1.07676990
658.58002   1.09300450
658.60162   1.07987040
658.62317   1.08756160
658.64465   1.08949410
658.66620   1.05786450
658.68774   1.05383260
658.70929   1.08797640
658.73077   1.07388000
658.75232   1.05837030
658.77380   1.06306400
658.79529   1.05853370
658.81677   1.05903790
658.83826   1.04830510
658.85974   1.04043130
658.88123   1.02934330
658.90271   1.02705570
658.92413   1.01794240
658.94556   1.03719140
658.96704   1.01286440
658.98846   1.01174240
659.00989   1.00768360
659.03137   1.01353310
659.05273   1.02145240
659.07416   1.01948480
659.09558   1.01603830
659.11700   1.02116800
659.13837   1.02448090
659.15979   1.03262190
659.18115   1.02110750
659.20251   1.01704170
659.22394   1.02382060
659.24524   1.00616940
659.26666   1.00112900
659.28796   1.01349040
659.30933   1.01894980
659.33069   1.00268190
659.35199   1.00927010
659.37335   1.00923090
659.39465   0.98209276
659.41595   0.99320585
659.43732   1.00013850
659.45862   1.01519470
659.47986   0.99319989
659.50116   0.98925351
659.52246   0.99299379
659.54376   1.01257690
659.56506   0.98423656
659.58630   1.00001110
659.60754   0.99311418
659.62878   1.00090840
659.65002   0.98422513
659.67126   0.98918140
659.69250   0.99771671
659.71375   0.99022302
659.73499   1.00319090
659.75623   1.01467610
659.77740   1.00121050
659.79865   0.99843786
659.81982   1.02765030
659.84100   0.94897481
659.86218   0.94779306
659.88336   0.94718450
