%\*l[nm]	Flux relative to continuum flux
648.25159   0.98784962
648.27600   0.98529524
648.30029   0.97519226
648.32458   0.97184129
648.34900   0.97145052
648.37329   0.97486482
648.39758   0.97599196
648.42194   0.98634376
648.44617   0.99047091
648.47052   0.99357441
648.49475   0.99199390
648.51910   0.99440161
648.54333   0.98682293
648.56763   0.99665466
648.59192   0.99488531
648.61615   0.99242258
648.64038   0.99240874
648.66467   0.98384801
648.68884   0.98802195
648.71313   0.98682558
648.73737   0.99456131
648.76160   0.99386673
648.78577   0.99436227
648.81000   0.99311758
648.83417   1.00043300
648.85840   1.00486450
648.88257   1.00427630
648.90680   1.00182120
648.93097   0.99982636
648.95514   1.01055190
648.97931   1.01246450
649.00342   1.01699660
649.02759   1.01081590
649.05176   0.99944964
649.07587   0.99767331
649.09998   1.00893080
649.12415   1.01418650
649.14825   1.02828910
649.17236   1.02985980
649.19647   1.02417620
649.22058   1.03108770
649.24469   1.02618350
649.26880   1.02145870
649.29285   1.00757060
649.31696   1.01430620
649.34100   1.01900250
649.36511   1.02358370
649.38916   1.03166020
649.41321   1.02854050
649.43726   1.03050260
649.46130   1.02258330
649.48529   1.02059330
649.50934   1.02578390
649.53333   1.01144220
649.55737   1.00653530
649.58142   0.99423458
649.60541   0.98874793
649.62939   0.99987289
649.65344   1.00460250
649.67737   1.00715550
649.70135   1.01132230
649.72534   1.00794380
649.74933   1.00579820
649.77325   1.00259740
649.79724   1.00344710
649.82117   1.00454960
649.84509   1.00636820
649.86902   1.00180520
649.89294   0.99822760
649.91687   0.99936392
649.94080   1.00094100
649.96472   0.99936812
649.98865   1.00153910
650.01257   0.99733393
650.03644   1.00689430
650.06030   1.00781330
650.08417   1.00479020
650.10803   0.98878494
650.13196   0.99473711
650.15582   1.00102070
650.17963   0.99494877
650.20349   0.99530681
650.22736   0.99471782
650.25116   0.99552082
650.27502   0.98840367
650.29883   0.99561158
650.32263   0.99584068
650.34644   0.99641711
650.37024   0.99015359
650.39404   0.99477584
650.41785   0.99849512
650.44165   0.99728943
650.46545   0.99149154
650.48920   0.99535422
650.51294   0.99583244
650.53674   1.00138310
650.56049   0.99669413
650.58423   0.99911865
650.60797   0.99882282
650.63171   0.99713322
650.65540   0.99524401
650.67914   0.99511423
650.70288   0.99040065
650.72662   0.99512525
650.75031   0.99931204
650.77405   0.98950832
650.79773   0.99564792
650.82141   0.99154700
650.84509   0.98590674
650.86877   0.98193617
650.89246   0.98977052
650.91608   0.99287963
650.93976   0.99109679
650.96338   0.99295154
650.98700   0.99862922
651.01062   0.99561429
651.03430   0.99676265
651.05792   0.99919282
651.08154   0.99489050
651.10516   0.99758933
651.12878   1.00255980
651.15234   0.99963721
651.17596   0.99400600
651.19958   0.99597660
651.22314   0.99711866
651.24670   0.99907189
651.27026   1.00672370
651.29382   1.01241090
651.31738   1.01332810
651.34094   1.02078140
651.36450   1.02664350
651.38806   1.03651590
651.41156   1.03954580
651.43512   1.04228670
651.45862   1.03584720
651.48212   1.03430690
651.50562   1.03787190
651.52917   1.04982300
651.55261   1.04495380
651.57611   1.04621220
651.59961   1.03984440
651.62311   1.03526300
651.64655   1.02186630
651.67004   1.01698420
651.69348   1.02527450
651.71692   1.04279680
651.74036   1.05095770
651.76379   1.05813120
651.78723   1.05492770
651.81067   1.05635210
651.83411   1.05116220
651.85754   1.04523930
651.88092   1.03950470
651.90430   1.02698180
651.92767   1.01512980
651.95105   1.00379000
651.97449   1.00823670
651.99786   1.01236150
652.02124   1.01412060
652.04456   1.00468740
652.06799   1.00128570
652.09131   0.99982484
652.11462   1.00166030
652.13800   1.00291690
652.16132   1.00185000
652.18469   0.99849771
652.20795   0.99437957
652.23132   0.99714341
652.25458   0.99855881
652.27789   0.99522093
652.30115   1.00105750
652.32446   0.99906585
652.34778   0.99086015
652.37103   0.99034535
652.39435   0.98664464
652.41760   0.99344106
652.44080   0.99853322
652.46411   1.00164950
652.48737   1.00223120
652.51062   1.00342230
652.53381   1.00423310
652.55701   0.99605248
652.58026   1.00248210
652.60345   0.99598725
652.62671   1.00317490
652.64990   0.99934824
652.67310   0.99999948
652.69629   0.99729306
652.71948   1.00578590
652.74261   1.00262830
652.76581   1.00095500
652.78894   0.99812941
652.81213   1.00052250
652.83533   1.00015730
