%\*l[nm]	Flux relative to continuum flux
649.58142   0.97137467
649.60541   0.97383460
649.62939   0.98883567
649.65344   1.00344850
649.67737   1.00375350
649.70135   0.99594622
649.72534   0.99394283
649.74933   1.00096050
649.77325   0.98785050
649.79724   0.99824103
649.82117   0.99994871
649.84509   0.99729651
649.86902   0.99924411
649.89294   1.00572910
649.91687   1.00238990
649.94080   1.00629100
649.96472   0.99661711
649.98865   1.00403590
650.01257   0.99883163
650.03644   0.99820836
650.06030   1.00036850
650.08417   1.00816290
650.10803   0.99941677
650.13196   0.98740926
650.15582   0.99248824
650.17963   1.00448940
650.20349   0.98820506
650.22736   0.98589551
650.25116   0.99503248
650.27502   0.98969347
650.29883   0.98788177
650.32263   0.98998911
650.34644   0.98312514
650.37024   0.99032598
650.39404   0.98914081
650.41785   0.98701169
650.44165   0.99442113
650.46545   0.99974827
650.48920   1.00509950
650.51294   0.99328366
650.53674   0.99365582
650.56049   0.99333905
650.58423   0.99896093
650.60797   0.99392578
650.63171   0.98678803
650.65540   1.00159850
650.67914   1.00661560
650.70288   0.99736635
650.72662   0.98229476
650.75031   0.99742069
650.77405   1.00035090
650.79773   1.00087810
650.82141   1.00302500
650.84509   0.98324729
650.86877   0.99012027
650.89246   0.98348307
650.91608   0.99812860
650.93976   0.99595859
650.96338   0.99886958
650.98700   0.99748878
651.01062   0.99775273
651.03430   0.99644847
651.05792   0.99779342
651.08154   0.99978086
651.10516   0.99234936
651.12878   0.99689011
651.15234   1.01063890
651.17596   0.99362018
651.19958   0.99853970
651.22314   0.99248322
651.24670   0.98906609
651.27026   1.00261920
651.29382   1.00468760
651.31738   1.00089790
651.34094   0.99991050
651.36450   0.99822781
651.38806   1.00738820
651.41156   1.00103610
651.43512   0.98507358
651.45862   0.97560913
651.48212   0.96770129
651.50562   0.97934654
651.52917   0.98856746
651.55261   0.98990218
651.57611   0.98298388
651.59961   0.98152400
651.62311   0.97736155
651.64655   0.95568598
651.67004   0.94732601
651.69348   0.96912760
651.71692   0.97344302
651.74036   0.98988526
651.76379   0.98789338
651.78723   0.99544307
651.81067   0.99347867
651.83411   0.99809698
651.85754   1.00305000
651.88092   1.00349670
