%\*l[nm]	Flux relative to continuum flux
649.82117   1.00899470
649.84509   0.99788858
649.86902   0.99491967
649.89294   1.00723130
649.91687   0.99383696
649.94080   1.00875430
649.96472   0.99283760
649.98865   0.99435867
650.01257   0.99826482
650.03644   0.99463121
650.06030   1.00972410
650.08417   1.00681320
650.10803   1.00781250
650.13196   0.99474249
650.15582   0.99484518
650.17963   0.98480812
650.20349   1.00183670
650.22736   0.99322897
650.25116   1.00009510
650.27502   0.99360806
650.29883   0.98865169
650.32263   0.99315838
650.34644   0.98465736
650.37024   0.99672351
650.39404   0.98777559
650.41785   0.98453869
650.44165   0.97812060
650.46545   0.99731545
650.48920   0.99700411
650.51294   1.00121130
650.53674   1.01036130
650.56049   1.00532070
650.58423   1.00953600
650.60797   0.98298658
650.63171   0.99944597
650.65540   0.99792537
650.67914   1.00849860
650.70288   0.99459033
650.72662   0.99147407
650.75031   0.98997062
650.77405   0.99231888
650.79773   0.99535355
650.82141   0.99408709
650.84509   0.97549727
650.86877   0.96293001
650.89246   0.97990064
650.91608   0.99301693
650.93976   1.01357130
650.96338   1.00440740
650.98700   1.00223900
651.01062   1.00851300
651.03430   1.00936730
651.05792   1.00614390
651.08154   1.00550210
651.10516   1.00025300
651.12878   1.00674280
651.15234   1.00603750
651.17596   0.98938727
651.19958   0.96794256
651.22314   0.96494503
651.24670   0.99582444
651.27026   1.00220720
651.29382   1.01261170
651.31738   0.99360725
651.34094   1.01395310
651.36450   1.00730310
651.38806   1.00921870
651.41156   0.99946640
651.43512   0.97319565
651.45862   0.93207973
651.48212   0.91884187
651.50562   0.95457905
651.52917   0.98503204
651.55261   0.97373497
651.57611   0.96649728
651.59961   0.95097055
651.62311   0.93022433
651.64655   0.86775990
651.67004   0.86319781
651.69348   0.90239391
651.71692   0.94270014
651.74036   0.97686155
651.76379   0.98555131
651.78723   0.97301320
651.81067   0.98241256
651.83411   0.98745616
651.85754   0.98901596
651.88092   0.99832004
651.90430   0.97408119
651.92767   0.94970575
651.95105   0.93675509
651.97449   0.96184783
651.99786   0.98902351
652.02124   0.99619879
652.04456   1.00642860
652.06799   1.00025400
652.09131   1.01701030
652.11462   1.00415550
652.13800   1.00359520
652.16132   0.99941686
652.18469   0.99510182
652.20795   0.99610157
652.23132   1.00465840
652.25458   0.99977975
652.27789   0.99209276
652.30115   0.99521439
652.32446   0.98117377
652.34778   0.96055642
652.37103   0.93849776
652.39435   0.94416758
652.41760   0.96697021
652.44080   0.98896817
652.46411   1.00077730
652.48737   1.00243280
652.51062   1.00056240
652.53381   0.99570883
652.55701   1.00214890
652.58026   0.99095785
652.60345   0.99793545
652.62671   0.99806701
652.64990   0.99864893
652.67310   1.00506020
652.69629   1.00096450
652.71948   0.99951558
652.74261   0.99393687
652.76581   0.99357724
652.78894   0.99580205
652.81213   0.99692010
652.83533   0.99647271
652.85846   1.00114020
652.88159   1.00206410
652.90472   1.00102130
652.92786   0.99485544
652.95099   0.99607393
652.97406   1.00296790
652.99719   0.99624695
653.02032   0.98738431
653.04340   0.98355041
653.06653   0.99067251
653.08960   0.99650439
653.11267   0.99206149
653.13574   0.99651153
653.15881   0.99652102
653.18188   0.98843249
653.20496   0.96226202
653.22797   0.94174047
653.25104   0.94082110
653.27405   0.97098126
653.29706   0.98081472
653.32013   0.99177070
653.34314   0.99009296
653.36609   0.97924554
653.38910   0.96606980
653.41211   0.95323667
653.43512   0.95691520
653.45813   0.96322535
653.48108   0.97923089
653.50403   0.97571365
653.52704   0.99312936
653.54999   0.98714344
653.57294   0.99402824
653.59589   0.98671752
653.61884   0.98700313
653.64172   0.97761032
653.66467   0.96901703
653.68762   0.97552946
653.71057   0.98005802
653.73346   0.98522888
653.75635   0.98258364
653.77924   0.98703764
653.80212   0.98949545
653.82507   0.98157658
653.84790   0.99230337
653.87079   0.98288196
653.89368   0.98917882
653.91650   0.98185030
653.93939   0.97883885
653.96222   0.98339155
653.98505   0.97525212
654.00793   0.99037251
654.03076   0.98513316
654.05359   0.97271967
654.07635   0.98600899
654.09924   0.97620980
654.12201   0.97097168
654.14484   0.96570002
654.16760   0.97148999
654.19037   0.96425855
654.21320   0.94628895
654.23596   0.95535313
654.25867   0.95306798
654.28149   0.95904220
654.30426   0.96596273
654.32703   0.96218623
654.34973   0.93803498
654.37244   0.89453321
654.39520   0.90459660
654.41791   0.91049038
654.44061   0.94383983
654.46332   0.95196127
654.48608   0.97025493
654.50873   0.97053978
654.53143   0.95575279
654.55414   0.95806079
654.57678   0.94613903
654.59949   0.94766887
654.62219   0.94884147
654.64484   0.94814998
654.66748   0.96989725
654.69012   0.95616371
654.71277   0.94976367
654.73547   0.94229934
654.75806   0.92526185
654.78064   0.92773994
654.80334   0.92854520
654.82593   0.90925417
654.84851   0.91196942
654.87115   0.89725241
654.89368   0.90099896
654.91632   0.93282997
654.93890   0.94253929
654.96149   0.94761175
654.98401   0.93708984
655.00659   0.94640051
655.02917   0.94263668
655.05170   0.94197394
655.07428   0.93783076
655.09680   0.93104360
655.11932   0.93272293
655.14185   0.92220329
655.16437   0.91595306
655.18689   0.91551565
655.20941   0.90993080
655.23187   0.87479299
655.25439   0.85669589
655.27692   0.86745917
655.29938   0.87403475
655.32184   0.88871376
655.34436   0.89272317
655.36682   0.89359801
655.38928   0.87796865
655.41174   0.89541889
655.43414   0.88903569
655.45660   0.89176083
655.47900   0.89109349
655.50146   0.89666151
655.52386   0.89840957
655.54626   0.90241801
655.56873   0.90892457
655.59113   0.92472939
655.61346   0.93354475
655.63586   0.93065545
655.65826   0.95305408
655.68066   0.96487910
655.70300   0.97337584
655.72540   0.98534177
655.74774   1.02808440
655.77008   1.06363850
655.79242   1.11581990
655.81482   1.16662350
655.83710   1.22941080
655.85944   1.31789800
655.88177   1.41388310
655.90411   1.49554300
655.92639   1.57050160
655.94867   1.61503480
655.97101   1.66574720
655.99329   1.70154310
656.01556   1.72473200
656.03784   1.76146370
656.06012   1.76871630
656.08240   1.75018970
656.10461   1.69863780
656.12689   1.67154000
656.14911   1.66087170
656.17139   1.63245540
656.19360   1.62633770
656.21588   1.61290400
656.23810   1.60077720
656.26031   1.62812620
656.28253   1.66731550
656.30469   1.69254290
656.32690   1.70850030
656.34906   1.71878450
656.37128   1.67159590
656.39343   1.61455550
656.41565   1.56139990
656.43781   1.52789470
656.45996   1.53025590
656.48212   1.48182620
656.50427   1.42730510
656.52643   1.36756250
656.54852   1.28883330
656.57068   1.23106870
656.59277   1.16751610
656.61487   1.10543820
656.63702   1.05324820
656.65912   1.02395220
656.68121   0.99805194
656.70331   0.97002314
656.72540   0.96181792
656.74744   0.93128810
656.76953   0.93314813
656.79163   0.91458326
656.81366   0.90970606
656.83575   0.90642516
656.85779   0.88817438
656.87982   0.87501179
656.90186   0.88734491
656.92389   0.88210423
656.94592   0.88715001
656.96790   0.88463438
656.98993   0.88642389
657.01196   0.90210502
657.03394   0.89522085
657.05597   0.89245553
657.07794   0.89451659
657.09991   0.89565591
657.12189   0.90550951
657.14386   0.91557575
657.16583   0.90716152
657.18781   0.88096695
657.20972   0.87711516
657.23169   0.88690589
657.25360   0.92226713
657.27551   0.91281108
657.29749   0.93200546
657.31940   0.92579297
657.34131   0.92957804
657.36316   0.94238241
657.38513   0.93959844
657.40698   0.93236574
657.42883   0.92752331
657.45081   0.91891161
657.47266   0.88103104
657.49451   0.88012375
657.51636   0.91160391
657.53821   0.90729795
657.56006   0.96735682
657.58191   0.95716252
657.60376   0.95528316
657.62561   0.95385318
657.64740   0.95594396
657.66925   0.94550261
657.69104   0.95093983
657.71283   0.95221945
657.73468   0.96088077
657.75647   0.97874129
657.77820   0.97051244
657.79999   0.98779228
657.82178   0.96746706
657.84357   0.97206978
657.86536   0.95232007
657.88708   0.96546648
657.90881   0.95964284
657.93054   0.95548529
657.95227   0.96492238
657.97406   0.98179537
657.99573   0.96334958
658.01746   0.96953213
658.03918   0.96991425
658.06091   0.96569484
658.08264   0.94881210
658.10431   0.96740598
658.12604   0.98721964
658.14771   0.99467211
658.16937   0.98018459
658.19104   0.97167785
658.21271   1.00512430
658.23438   1.00599490
658.25598   0.98669186
658.27765   0.99184993
658.29926   0.98963056
658.32092   1.00838940
658.34253   0.99778135
658.36414   0.98153532
658.38580   0.98365980
658.40735   1.00211760
658.42902   0.99364788
658.45056   1.00913850
658.47217   0.99018308
658.49377   0.99311144
658.51532   0.98999275
658.53693   0.98487680
658.55847   0.97623825
658.58002   0.98980831
658.60162   0.98639118
658.62317   0.99094403
658.64465   0.97413560
658.66620   0.96674996
658.68774   0.97033347
658.70929   1.00222090
658.73077   1.00641050
658.75232   1.00935670
658.77380   1.00362380
658.79529   1.01550610
658.81677   0.99501388
658.83826   1.00059150
658.85974   1.00952600
658.88123   0.99811667
658.90271   1.00324260
658.92413   0.99447267
658.94556   0.99673203
658.96704   1.01293650
658.98846   1.02933210
659.00989   0.99587843
659.03137   1.00644370
659.05273   0.99894779
659.07416   1.00729020
659.09558   1.00725460
659.11700   1.00225200
659.13837   1.02321230
659.15979   1.00834640
659.18115   1.00008840
659.20251   1.01614630
659.22394   1.01141450
659.24524   1.02039100
659.26666   1.02677730
659.28796   1.01029480
659.30933   1.00200180
659.33069   1.01399910
659.35199   1.01374040
659.37335   1.00482160
659.39465   1.00360780
659.41595   1.00214470
659.43732   0.98097932
659.45862   0.98689666
659.47986   0.99102263
659.50116   0.99729539
659.52246   0.98782957
659.54376   0.99889647
659.56506   0.99535020
659.58630   1.00143710
659.60754   0.98232885
659.62878   1.00626340
659.65002   0.99588737
659.67126   0.99288500
659.69250   0.96814228
659.71375   0.98911753
659.73499   0.95838392
659.75623   0.97953390
659.77740   0.97485378
659.79865   0.97219625
659.81982   0.99729486
659.84100   0.94083779
659.86218   0.93958964
659.88336   0.93876330
