%\*l[nm]	Flux relative to continuum flux
648.25159   0.98955719
648.27600   0.98072262
648.30029   0.97810359
648.32458   0.96403665
648.34900   0.96469819
648.37329   0.96174898
648.39758   0.96863685
648.42194   0.98316774
648.44617   0.98549917
648.47052   0.98233250
648.49475   0.98768277
648.51910   0.98782712
648.54333   0.98867354
648.56763   0.98401321
648.59192   0.98753344
648.61615   0.98849812
648.64038   0.98644765
648.66467   0.98247400
648.68884   0.98074684
648.71313   0.98280347
648.73737   0.98608168
648.76160   0.99221367
648.78577   0.98686740
648.81000   0.99101174
648.83417   0.99265686
648.85840   0.99278475
648.88257   0.99508213
648.90680   0.99268877
648.93097   0.99296083
648.95514   0.98993171
648.97931   1.00230850
649.00342   1.00064000
649.02759   1.00797500
649.05176   0.99721029
649.07587   0.98268064
649.09998   0.98428740
649.12415   0.99306519
649.14825   1.00939970
649.17236   1.01028070
649.19647   1.01329750
649.22058   1.01916680
649.24469   1.01943990
649.26880   1.00841120
649.29285   1.00666630
649.31696   0.99983381
649.34100   1.01384340
649.36511   1.02550180
649.38916   1.03022530
649.41321   1.03481870
649.43726   1.02822940
649.46130   1.01930760
649.48529   1.02023170
649.50934   1.02467460
649.53333   1.01913640
649.55737   1.00866660
649.58142   0.99218940
649.60541   0.99459134
649.62939   1.00078370
649.65344   1.01236220
649.67737   1.01147940
649.70135   1.01347660
649.72534   1.00840960
649.74933   1.00070240
649.77325   1.00157130
649.79724   1.01133470
649.82117   1.00919890
649.84509   1.00186510
649.86902   0.99660138
649.89294   1.00261710
649.91687   1.00233820
649.94080   1.00803360
649.96472   1.00093510
649.98865   1.00505690
650.01257   1.00234700
650.03644   1.00208920
650.06030   1.00018870
650.08417   1.00271280
650.10803   0.98726865
650.13196   1.00088470
650.15582   0.99619045
650.17963   0.99447585
650.20349   0.99223572
650.22736   0.99379955
650.25116   0.99819774
650.27502   0.98922557
650.29883   0.99117877
650.32263   0.99728996
650.34644   0.98903308
650.37024   0.99550967
650.39404   0.99493969
650.41785   0.98803979
650.44165   0.99115200
650.46545   0.99294208
650.48920   0.99900779
650.51294   0.99958660
650.53674   0.99790693
650.56049   0.99775012
650.58423   0.99037847
650.60797   0.99577329
650.63171   0.99340905
650.65540   0.99288139
650.67914   1.00147080
650.70288   0.99720831
650.72662   0.98352986
650.75031   0.98947780
650.77405   0.98495404
650.79773   0.99069888
650.82141   0.99086419
650.84509   0.98745397
650.86877   0.97666689
650.89246   0.98634968
650.91608   0.99093289
650.93976   0.99323493
650.96338   0.98470322
650.98700   0.99260567
651.01062   0.99983340
651.03430   0.99227000
651.05792   0.99868379
651.08154   1.00087590
651.10516   0.99696884
651.12878   1.00326270
651.15234   1.00083640
651.17596   0.99745660
651.19958   0.99023235
651.22314   0.99252665
651.24670   0.99476227
651.27026   1.00025550
651.29382   1.00912180
651.31738   1.00096350
651.34094   1.00490700
651.36450   1.00516770
651.38806   1.00657310
651.41156   1.00293300
651.43512   0.99778495
651.45862   0.98909927
651.48212   0.98854939
651.50562   1.00643400
651.52917   1.02970190
651.55261   1.03685670
651.57611   1.04086890
651.59961   1.03174780
651.62311   1.01385670
651.64655   1.00154540
651.67004   0.98630966
651.69348   0.99461262
651.71692   1.01559760
651.74036   1.02783990
651.76379   1.03751460
651.78723   1.04033640
651.81067   1.03971040
651.83411   1.04071950
651.85754   1.03866930
651.88092   1.02639010
651.90430   1.01132740
651.92767   0.99904418
651.95105   0.98712735
651.97449   0.99509979
651.99786   1.00510030
652.02124   1.00907010
652.04456   1.01570840
652.06799   1.01709730
652.09131   1.02103110
652.11462   1.02508520
652.13800   1.01949380
652.16132   1.01789910
652.18469   1.01952210
652.20795   1.00171650
652.23132   1.00179400
652.25458   1.00052140
652.27789   0.99887029
652.30115   0.99964242
652.32446   1.00186300
652.34778   0.98489703
652.37103   0.98966004
652.39435   0.97778419
652.41760   0.98441043
652.44080   0.99254566
652.46411   0.99742439
652.48737   0.99870884
652.51062   0.99772147
652.53381   0.99872754
652.55701   0.99882761
652.58026   0.99591392
652.60345   0.99572323
652.62671   1.00161170
652.64990   1.00181310
652.67310   1.00634430
652.69629   1.00717340
652.71948   0.99953722
652.74261   0.99954926
652.76581   0.99735728
652.78894   1.00307150
652.81213   1.00600620
652.83533   1.00015020
652.85846   0.99529832
652.88159   0.99937768
652.90472   0.99723453
652.92786   0.99544218
652.95099   0.99743602
652.97406   1.00030260
652.99719   0.99437381
653.02032   0.99157185
653.04340   0.99458141
653.06653   0.98899782
653.08960   0.99669353
653.11267   0.99678894
653.13574   0.99331996
653.15881   1.00036470
653.18188   0.99373775
653.20496   0.98620362
653.22797   0.97861041
653.25104   0.97524106
653.27405   0.98344002
653.29706   0.99214026
653.32013   0.99943515
653.34314   0.98942496
653.36609   0.98994945
653.38910   0.99157108
653.41211   0.98818734
653.43512   0.98280603
653.45813   0.99001582
653.48108   0.98934629
653.50403   0.98807159
653.52704   0.99008188
653.54999   0.99274972
653.57294   0.99207831
653.59589   1.00009350
653.61884   0.99225310
653.64172   0.99743949
653.66467   0.98416270
653.68762   0.98463004
653.71057   0.98917770
653.73346   0.98509197
653.75635   0.98348313
653.77924   0.99107725
653.80212   1.04141080
653.82507   1.01545680
653.84790   0.98935594
653.87079   0.99065790
653.89368   0.99121128
653.91650   0.98531741
653.93939   0.98468671
653.96222   0.98645706
653.98505   0.98850190
654.00793   0.98592369
654.03076   0.98520581
654.05359   0.98049663
654.07635   0.98391911
654.09924   0.98389751
654.12201   0.98418230
654.14484   0.98664144
654.16760   0.98049110
654.19037   0.98173204
654.21320   0.97599661
654.23596   0.97591553
654.25867   0.97457885
654.28149   0.97152821
654.30426   0.97409611
654.32703   0.98231083
654.34973   0.96809629
654.37244   0.95525783
654.39520   0.95610959
654.41791   0.96093554
654.44061   0.96270265
654.46332   0.97180358
654.48608   0.97642558
654.50873   0.97646243
654.53143   0.97458853
654.55414   0.97395681
654.57678   0.97124772
654.59949   0.96266546
654.62219   0.96797992
654.64484   0.96601564
654.66748   0.96545685
654.69012   0.97061052
654.71277   0.96023784
654.73547   0.95411137
654.75806   0.96293956
654.78064   0.95102227
654.80334   0.95817847
654.82593   0.95368492
654.84851   0.94904468
654.87115   0.94824942
654.89368   0.94860360
654.91632   0.95668904
654.93890   0.96231621
654.96149   0.96142105
654.98401   0.96157668
655.00659   0.96413213
655.02917   0.95617321
655.05170   0.96000366
655.07428   0.96653475
655.09680   0.95633464
655.11932   0.95477803
655.14185   0.95711452
655.16437   0.95041207
655.18689   0.94745473
655.20941   0.95502886
655.23187   0.93882203
655.25439   0.92938245
655.27692   0.93742334
655.29938   0.93275939
655.32184   0.94168654
655.34436   0.94495847
655.36682   0.93769633
655.38928   0.93407229
655.41174   0.94240129
655.43414   0.93695901
655.45660   0.93370886
655.47900   0.93620330
655.50146   0.94085638
655.52386   0.93801037
655.54626   0.94395717
655.56873   0.94106813
655.59113   0.93040955
655.61346   0.93905916
655.63586   0.93731292
655.65826   0.94652242
655.68066   0.94308788
655.70300   0.93950726
655.72540   0.94130998
655.74774   0.95193638
655.77008   0.94677489
655.79242   0.95813808
655.81482   0.96861990
655.83710   0.97536904
655.85944   0.98976419
655.88177   1.00829300
655.90411   1.02163310
655.92639   1.04417970
655.94867   1.06621720
655.97101   1.09968290
655.99329   1.15371240
656.01556   1.18307530
656.03784   1.24606220
656.06012   1.33307710
656.08240   1.41621110
656.10461   1.53673270
656.12689   1.68588090
656.14911   1.88866620
656.17139   2.09242740
656.19360   2.34179470
656.21588   2.61656570
656.23810   2.87283930
656.26031   3.14289510
656.28253   3.41584300
656.30469   3.78200010
656.32690   4.20261770
656.34906   4.47930820
656.37128   4.53385990
656.39343   4.29878360
656.41565   3.93199170
656.43781   3.54463520
656.45996   3.24665360
656.48212   2.96731200
656.50427   2.70729840
656.52643   2.45395900
656.54852   2.19047620
656.57068   1.95967880
656.59277   1.76839410
656.61487   1.60620830
656.63702   1.47863500
656.65912   1.36826040
656.68121   1.28991290
656.70331   1.22061420
656.72540   1.16767830
656.74744   1.11624090
656.76953   1.08392530
656.79163   1.05966730
656.81366   1.04209140
656.83575   1.02133910
656.85779   1.00124400
656.87982   0.99365302
656.90186   0.96782670
656.92389   0.96512513
656.94592   0.95932744
656.96790   0.96342528
656.98993   0.94811677
657.01196   0.96146308
657.03394   0.94963765
657.05597   0.94808096
657.07794   0.93952193
657.09991   0.94505072
657.12189   0.95337948
657.14386   0.94074751
657.16583   0.94051325
657.18781   0.93706344
657.20972   0.92958614
657.23169   0.94166811
657.25360   0.93748506
657.27551   0.94635380
657.29749   0.95176412
657.31940   0.96252608
657.34131   0.95725417
657.36316   0.95328348
657.38513   0.95605155
657.40698   0.95750296
657.42883   0.95081279
657.45081   0.95489750
657.47266   0.94504791
657.49451   0.93992018
657.51636   0.94388919
657.53821   0.94906345
657.56006   0.96661359
657.58191   0.96405342
657.60376   0.97033918
657.62561   0.97023869
657.64740   0.96863116
657.66925   0.95973806
657.69104   0.96467391
657.71283   0.95776790
657.73468   0.96197550
657.75647   0.95920666
657.77820   0.96763892
657.79999   0.96220272
657.82178   0.97697644
657.84357   0.95385262
657.86536   0.95702091
657.88708   0.95092304
657.90881   0.95854922
657.93054   0.95794101
657.95227   0.97102403
657.97406   0.96731316
657.99573   0.96369689
658.01746   0.97121596
658.03918   0.97136085
658.06091   0.97345656
658.08264   0.97270163
658.10431   0.97587646
658.12604   0.97421385
658.14771   0.98114757
658.16937   0.97686011
658.19104   0.98130271
658.21271   0.97635985
658.23438   0.98128441
658.25598   0.96811629
658.27765   0.98422566
658.29926   0.98131995
658.32092   0.97393305
658.34253   0.97286301
658.36414   0.97879830
658.38580   0.97686893
658.40735   0.98067118
658.42902   0.98006231
658.45056   0.97958858
658.47217   0.98479631
658.49377   0.98792215
658.51532   0.99530011
658.53693   0.98796804
658.55847   0.98150729
658.58002   0.98295399
658.60162   0.98670564
658.62317   0.99625853
658.64465   0.99689155
658.66620   0.99131828
658.68774   0.99255776
658.70929   1.00778280
658.73077   1.00268560
658.75232   1.01327160
658.77380   1.00504150
658.79529   1.00923280
658.81677   1.00128620
658.83826   0.99909123
658.85974   1.00205720
658.88123   1.00632100
658.90271   1.00584360
658.92413   1.00399070
658.94556   1.01364540
658.96704   1.01020010
658.98846   1.00954190
659.00989   1.01324420
659.03137   1.00506580
659.05273   1.01138700
659.07416   1.00781420
659.09558   0.99901855
659.11700   0.99402482
659.13837   1.00561500
659.15979   1.00177740
659.18115   0.99465042
659.20251   1.00060330
659.22394   0.98952171
659.24524   1.00439140
659.26666   1.00043530
659.28796   1.00750270
659.30933   1.01073530
659.33069   1.00428090
659.35199   0.99796396
659.37335   0.99755144
659.39465   1.00062410
659.41595   0.98670150
659.43732   0.99754274
659.45862   0.99780206
659.47986   0.98793124
659.50116   0.99463965
659.52246   0.99637435
659.54376   0.99562215
659.56506   0.99479334
659.58630   1.00750610
659.60754   0.99807997
659.62878   1.00077100
659.65002   0.99961128
659.67126   1.00712920
659.69250   1.00460540
659.71375   1.00173150
659.73499   0.98320026
659.75623   0.99035327
659.77740   0.98358848
659.79865   0.97913998
659.81982   0.99195140
659.84100   0.93737081
659.86218   0.93770818
659.88336   0.93783010
