%\*l[nm]	Flux relative to continuum flux
648.25159   1.00407410
648.27600   0.99651533
648.30029   0.98589211
648.32458   0.97622831
648.34900   0.97553879
648.37329   0.97629481
648.39758   0.97354103
648.42194   0.99070342
648.44617   0.98937844
648.47052   0.99464570
648.49475   0.99465016
648.51910   0.99398572
648.54333   0.98939680
648.56763   0.99390332
648.59192   0.99949492
648.61615   0.99758069
648.64038   0.99865713
648.66467   0.98847035
648.68884   0.99100472
648.71313   0.99803895
648.73737   0.99802958
648.76160   1.00425040
648.78577   0.99088697
648.81000   0.99196802
648.83417   1.00140410
648.85840   1.00410930
648.88257   1.00146480
648.90680   0.99678753
648.93097   1.00390830
648.95514   1.00106090
648.97931   1.00402900
649.00342   1.00306290
649.02759   1.00058590
649.05176   0.98972036
649.07587   0.98050699
649.09998   0.98844298
649.12415   0.99578925
649.14825   1.00471890
649.17236   1.00524710
649.19647   1.00620410
649.22058   1.01170120
649.24469   1.00536860
649.26880   0.99133373
649.29285   0.98619244
649.31696   0.98828017
649.34100   0.99656752
649.36511   1.00206850
649.38916   1.00339540
649.41321   1.00533310
649.43726   1.00350700
649.46130   1.00638890
649.48529   1.00553890
649.50934   1.00774650
649.53333   1.00172610
649.55737   0.99027280
649.58142   0.97425075
649.60541   0.98546460
649.62939   0.99825602
649.65344   1.00253820
649.67737   1.00111670
649.70135   1.00492490
649.72534   0.99861809
649.74933   0.99557341
649.77325   0.99299274
649.79724   1.00088170
649.82117   1.00502170
649.84509   1.00152100
649.86902   1.00095120
649.89294   1.00150220
649.91687   1.00158130
649.94080   0.99739829
649.96472   0.99996954
649.98865   0.99799748
650.01257   1.00201300
650.03644   1.00105400
650.06030   1.00214580
650.08417   0.99837777
650.10803   0.99855323
650.13196   0.99681020
650.15582   1.00333930
650.17963   0.99716292
650.20349   0.99778922
650.22736   0.99928285
650.25116   1.00152680
650.27502   1.00144740
650.29883   0.99960863
650.32263   0.99727869
650.34644   1.00122280
650.37024   0.99971904
650.39404   0.99891878
650.41785   0.99569367
650.44165   0.99451510
650.46545   0.99573483
650.48920   0.99501032
650.51294   0.99468783
650.53674   1.00171610
650.56049   0.99776775
650.58423   0.99768262
650.60797   0.99775983
650.63171   0.99795460
650.65540   1.00013060
650.67914   1.00238570
650.70288   0.99828315
650.72662   0.99508498
650.75031   0.99679534
650.77405   0.99604944
650.79773   0.99528997
650.82141   0.99484723
650.84509   0.98614593
650.86877   0.98166892
650.89246   0.99315618
650.91608   0.99686604
650.93976   0.99963586
650.96338   0.99934751
650.98700   1.00332090
651.01062   1.00296840
651.03430   0.99839948
651.05792   1.00471050
651.08154   1.00372210
651.10516   0.99849812
651.12878   1.00565940
651.15234   1.01258510
651.17596   1.00295430
651.19958   0.99174278
651.22314   0.99235889
651.24670   0.99837780
651.27026   1.00561630
651.29382   1.01077810
651.31738   1.00254200
651.34094   1.00581920
651.36450   1.00531420
651.38806   1.00519910
651.41156   1.00252440
651.43512   0.99563704
651.45862   0.98327004
